2,"select p.objid, p.ra, p.dec, s.specobjid, s.g, s.r from star p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-12-30 17:16:00,1
2019-12-30 17:18:00,1
