28,"select top # SpecObjID, ra, dec, z, logMass, chi2, ssfr, metallicity from stellarMassFSPSGranWideDust where chi2 BETWEEN # and # AND ssfr < > # AND ssfr BETWEEN # and # AND z < #"
2019-01-08 14:46:00,1
2019-01-08 14:51:00,1
2019-01-08 14:56:00,1
2019-01-08 14:57:00,1
2019-01-08 14:58:00,2
2019-01-08 14:59:00,1
2019-01-08 15:02:00,1
2019-01-08 15:26:00,2
2019-01-08 15:29:00,1
2019-01-08 15:37:00,1
2019-01-08 15:38:00,4
2019-01-08 15:39:00,2
2019-01-08 15:40:00,1
2019-01-08 15:44:00,1
2019-01-08 15:45:00,1
2019-01-08 15:48:00,1
2019-01-08 15:49:00,2
2019-01-08 15:58:00,1
2019-01-08 16:06:00,3
