2,"SELECT objid, ra, dec, u, g, r, i, z, b as Latitude, l as Longitude FROM Star WHERE r < # and ra BETWEEN # and # and dec BETWEEN # and # and type = # and clean = #"
2019-03-09 21:28:00,1
2019-03-09 21:29:00,1
