9,"SELECT DISTINCT p.r, p.g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-10-03 23:41:00,1
2019-10-04 00:27:00,1
2019-10-04 00:29:00,1
2019-10-04 00:47:00,1
2019-10-04 00:59:00,1
2019-10-04 01:00:00,2
2019-10-04 01:17:00,1
2019-10-08 08:12:00,1
