4,"SELECT petroRad_r, objID, modelMag_r FROM SpecObj WHERE (ra between # and #) and (dec between # and #) AND type = # AND modelMag_r> # AND petroRad_r> #"
2019-02-12 05:29:00,2
2019-02-12 05:30:00,1
2019-02-12 05:32:00,1
