1131,"SELECT TOP # r.run, r.rerun, f.camCol, f.field, p.objID, p.ra, p.dec, p.modelMag_r, f.psfWidth_r FROM PhotoTag AS p JOIN Field AS f ON f.fieldid = p.fieldid JOIN Run AS r ON f.run = r.run WHERE mode = # and f.psfWidth_r > # and p.modelMag_r < #. and r.stripe = #"
2019-01-01 08:51:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 00:50:00,1
2019-01-02 01:20:00,1
2019-01-03 11:07:00,1
2019-01-03 13:28:00,1
2019-01-04 16:46:00,1
2019-01-05 06:49:00,1
2019-01-05 07:47:00,1
2019-01-05 09:21:00,1
2019-01-05 11:33:00,1
2019-01-05 15:37:00,1
2019-01-06 12:39:00,1
2019-01-07 00:07:00,1
2019-01-07 23:29:00,1
2019-01-07 23:49:00,1
2019-01-08 02:58:00,1
2019-01-08 03:27:00,1
2019-01-08 05:20:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 10:30:00,1
2019-01-10 02:11:00,1
2019-01-10 12:44:00,1
2019-01-10 21:54:00,1
2019-01-11 04:40:00,1
2019-01-12 03:06:00,1
2019-01-12 21:40:00,1
2019-01-13 08:28:00,1
2019-01-13 09:06:00,1
2019-01-14 11:09:00,1
2019-01-15 09:08:00,1
2019-01-17 04:24:00,1
2019-01-17 23:15:00,1
2019-01-17 23:20:00,1
2019-01-18 13:19:00,1
2019-01-19 20:49:00,1
2019-01-20 18:18:00,1
2019-01-21 17:51:00,1
2019-01-22 08:11:00,1
2019-01-22 08:24:00,1
2019-01-22 09:48:00,1
2019-01-22 21:39:00,1
2019-01-23 22:29:00,1
2019-01-23 23:25:00,1
2019-01-23 23:28:00,1
2019-01-24 03:48:00,1
2019-01-24 12:30:00,1
2019-01-25 07:26:00,1
2019-01-25 11:09:00,1
2019-01-25 12:41:00,1
2019-01-25 15:55:00,1
2019-01-26 09:45:00,1
2019-01-26 10:30:00,1
2019-01-26 17:48:00,1
2019-01-27 09:36:00,1
2019-01-27 21:29:00,1
2019-01-28 12:59:00,1
2019-01-28 13:50:00,1
2019-01-28 21:56:00,1
2019-01-29 00:39:00,1
2019-01-30 09:28:00,1
2019-01-30 15:31:00,2
2019-01-30 21:00:00,1
2019-02-01 01:50:00,1
2019-02-01 07:19:00,1
2019-02-01 08:48:00,1
2019-02-01 21:08:00,1
2019-02-02 01:39:00,1
2019-02-02 07:12:00,1
2019-02-02 07:31:00,1
2019-02-02 14:24:00,1
2019-02-03 18:49:00,1
2019-02-04 13:33:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-05 02:23:00,1
2019-02-06 04:36:00,1
2019-02-06 18:17:00,1
2019-02-07 01:47:00,1
2019-02-08 01:31:00,1
2019-02-08 04:17:00,1
2019-02-08 05:04:00,1
2019-02-08 16:48:00,1
2019-02-08 18:09:00,1
2019-02-08 22:14:00,1
2019-02-09 17:31:00,1
2019-02-10 05:48:00,1
2019-02-10 09:41:00,1
2019-02-10 18:29:00,1
2019-02-10 21:38:00,1
2019-02-11 06:13:00,2
2019-02-11 11:11:00,1
2019-02-11 21:30:00,1
2019-02-11 22:29:00,1
2019-02-12 03:30:00,2
2019-02-12 15:07:00,1
2019-02-12 18:41:00,1
2019-02-12 18:56:00,1
2019-02-13 12:15:00,1
2019-02-14 10:44:00,1
2019-02-14 10:59:00,1
2019-02-14 12:07:00,1
2019-02-14 12:08:00,1
