4,"SELECT m.t_age, m.t_age_err, m.metallicity, m.metallicity_err, m.age INTO mydb.sdss_m FROM stellarMassFSPSGranWideDust as m"
2019-09-17 08:22:00,1
2019-09-17 08:23:00,2
2019-09-17 08:24:00,1
