1303,"SELECT sp.ra, sp.dec, sp.z, sp.psfmag_i-sp.extinction_i AS mag_i, peak, integr FROM SpecPhoto AS sp INNER JOIN FIRST AS f ON sp.objid = f.objid WHERE class = #"
2019-01-01 09:45:00,1
2019-01-01 11:11:00,1
2019-01-01 11:48:00,1
2019-01-02 00:21:00,1
2019-01-02 00:51:00,1
2019-01-02 01:39:00,1
2019-01-03 11:10:00,1
2019-01-03 14:26:00,1
2019-01-04 15:16:00,1
2019-01-04 16:24:00,1
2019-01-05 00:20:00,1
2019-01-05 08:28:00,1
2019-01-05 16:56:00,1
2019-01-05 18:31:00,1
2019-01-06 09:19:00,1
2019-01-06 12:47:00,1
2019-01-07 00:13:00,1
2019-01-07 23:31:00,1
2019-01-07 23:34:00,1
2019-01-08 00:36:00,1
2019-01-08 03:32:00,1
2019-01-08 03:43:00,1
2019-01-08 06:07:00,1
2019-01-08 06:28:00,1
2019-01-08 07:29:00,1
2019-01-08 08:42:00,1
2019-01-08 15:36:00,1
2019-01-09 08:14:00,1
2019-01-10 02:18:00,1
2019-01-10 20:28:00,1
2019-01-10 22:39:00,1
2019-01-11 04:47:00,1
2019-01-11 09:03:00,1
2019-01-12 03:25:00,1
2019-01-12 09:34:00,1
2019-01-13 00:57:00,1
2019-01-13 02:41:00,1
2019-01-13 08:17:00,1
2019-01-13 08:33:00,1
2019-01-13 09:13:00,1
2019-01-13 10:33:00,1
2019-01-14 11:22:00,1
2019-01-16 01:12:00,1
2019-01-16 02:29:00,1
2019-01-16 07:37:00,1
2019-01-16 18:57:00,1
2019-01-16 23:44:00,1
2019-01-17 05:13:00,1
2019-01-17 11:02:00,1
2019-01-17 23:27:00,1
2019-01-18 22:32:00,1
2019-01-19 00:46:00,1
2019-01-19 17:06:00,1
2019-01-19 18:55:00,1
2019-01-20 19:13:00,1
2019-01-21 02:32:00,1
2019-01-21 07:43:00,1
2019-01-22 08:31:00,1
2019-01-22 09:05:00,1
2019-01-22 09:56:00,1
2019-01-22 11:00:00,1
2019-01-22 13:49:00,1
2019-01-22 20:44:00,1
2019-01-23 22:04:00,1
2019-01-23 23:30:00,1
2019-01-24 03:53:00,1
2019-01-24 11:32:00,1
2019-01-24 13:25:00,1
2019-01-25 05:34:00,1
2019-01-25 12:12:00,1
2019-01-25 12:23:00,1
2019-01-25 16:00:00,1
2019-01-25 17:18:00,1
