2265,SELECT #
2019-01-01 14:09:00,1
2019-01-02 08:21:00,1
2019-01-02 08:22:00,1
2019-01-02 08:24:00,1
2019-01-02 08:41:00,1
2019-01-03 14:22:00,1
2019-01-03 15:38:00,1
2019-01-03 15:40:00,1
2019-01-03 15:49:00,1
2019-01-03 15:54:00,1
2019-01-04 00:45:00,1
2019-01-04 03:20:00,1
2019-01-04 12:04:00,1
2019-01-04 16:23:00,1
2019-01-04 16:31:00,1
2019-01-04 16:54:00,1
2019-01-07 16:28:00,1
2019-01-07 16:31:00,1
2019-01-09 11:51:00,1
2019-01-09 14:38:00,1
2019-01-10 00:27:00,1
2019-01-10 03:15:00,1
2019-01-10 03:16:00,1
2019-01-10 03:33:00,1
2019-01-10 09:23:00,1
2019-01-10 09:35:00,1
2019-01-10 11:27:00,1
2019-01-10 11:53:00,1
2019-01-10 12:12:00,1
2019-01-10 12:37:00,1
2019-01-11 01:47:00,1
2019-01-11 02:31:00,1
2019-01-11 05:03:00,1
2019-01-11 05:04:00,1
2019-01-11 05:05:00,1
2019-01-11 16:56:00,1
2019-01-13 03:04:00,1
2019-01-13 03:34:00,1
2019-01-13 13:40:00,1
2019-01-13 14:06:00,1
2019-01-13 14:47:00,1
2019-01-14 08:53:00,1
2019-01-15 00:47:00,1
2019-01-15 05:13:00,1
2019-01-15 10:50:00,1
2019-01-15 11:24:00,1
2019-01-15 11:30:00,1
2019-01-15 12:33:00,1
2019-01-15 12:36:00,1
2019-01-15 12:38:00,1
2019-01-17 00:21:00,1
2019-01-17 02:44:00,1
2019-01-17 12:07:00,1
2019-01-18 05:14:00,1
2019-01-18 15:07:00,1
2019-01-19 03:01:00,1
2019-01-21 06:06:00,1
2019-01-21 07:41:00,1
2019-01-21 09:00:00,2
2019-01-22 10:32:00,1
2019-01-22 10:46:00,1
2019-01-23 02:27:00,1
2019-01-23 02:39:00,1
2019-01-23 10:41:00,1
2019-01-23 13:26:00,1
2019-01-23 16:02:00,1
2019-01-24 05:52:00,1
2019-01-24 11:03:00,1
