428,"SELECT TOP # plateifu, mangaid, objra, objdec, mngtarg1, drp3qual FROM mangadrpall WHERE ( (mngtarg1 ! = # or mngtarg3 ! = #) and (drp3qual < #) and (ifudesignsize = #) and (nsa_z > #) and (nsa_elpetro_mass > #e1#) )"
2019-01-03 11:20:00,1
2019-01-03 18:33:00,1
2019-01-04 08:33:00,1
2019-01-05 04:16:00,1
2019-01-06 22:11:00,1
2019-01-08 02:53:00,1
2019-01-08 04:35:00,1
2019-01-08 18:14:00,1
2019-01-10 02:45:00,1
2019-01-10 19:17:00,1
2019-01-12 05:44:00,1
2019-01-14 11:52:00,1
2019-01-15 23:14:00,1
2019-01-16 01:43:00,1
2019-01-17 22:56:00,1
2019-01-19 04:04:00,1
2019-01-19 20:47:00,1
2019-01-19 23:18:00,1
2019-01-22 16:11:00,1
2019-01-24 13:57:00,1
2019-01-26 08:10:00,1
2019-01-26 23:17:00,1
2019-01-27 21:15:00,1
2019-01-28 16:50:00,1
2019-01-29 13:27:00,1
2019-01-30 19:25:00,2
2019-01-31 02:06:00,1
2019-02-01 13:13:00,1
2019-02-02 00:20:00,1
2019-02-02 13:56:00,1
2019-02-03 04:14:00,1
2019-02-03 16:10:00,1
2019-02-08 07:16:00,1
2019-02-09 16:35:00,1
2019-02-09 18:57:00,1
2019-02-11 18:52:00,1
2019-02-12 18:12:00,1
2019-02-12 20:48:00,1
2019-02-13 16:32:00,1
2019-02-14 12:53:00,1
2019-02-14 15:30:00,1
2019-02-14 21:38:00,1
2019-02-16 15:06:00,1
2019-02-18 04:16:00,1
2019-02-19 21:59:00,1
2019-02-20 00:57:00,1
2019-02-21 01:48:00,1
2019-02-21 15:57:00,1
2019-02-21 18:51:00,1
2019-02-23 07:57:00,1
2019-02-26 01:10:00,1
2019-02-28 07:47:00,1
2019-02-28 22:30:00,1
2019-03-01 10:16:00,1
2019-03-01 10:27:00,1
2019-03-01 23:52:00,1
2019-03-02 04:25:00,1
2019-03-03 05:45:00,1
2019-03-05 16:16:00,1
2019-03-06 07:11:00,1
