79,"SELECT TOP # objid, ra, dec, u, g, r FROM star WHERE r< #"
2019-01-27 09:17:00,1
2019-02-15 23:52:00,1
2019-02-15 23:53:00,1
2019-02-15 23:57:00,1
2019-02-21 16:28:00,1
2019-02-21 16:38:00,1
2019-02-25 08:40:00,1
2019-02-25 08:42:00,1
2019-02-25 17:35:00,1
2019-02-25 17:40:00,1
2019-02-26 17:54:00,1
2019-02-27 10:49:00,1
2019-02-27 12:59:00,1
2019-02-27 13:01:00,1
2019-02-27 20:28:00,1
2019-02-27 20:30:00,1
2019-02-27 20:55:00,1
2019-02-27 21:29:00,2
2019-02-28 13:40:00,1
2019-02-28 13:41:00,2
2019-02-28 13:42:00,2
2019-02-28 13:43:00,1
2019-02-28 13:44:00,1
2019-02-28 13:48:00,2
2019-02-28 13:49:00,1
2019-03-01 13:16:00,1
2019-03-01 15:58:00,1
2019-03-01 17:05:00,1
2019-03-01 17:06:00,1
2019-03-01 20:28:00,1
2019-03-01 20:29:00,1
2019-03-01 20:31:00,1
2019-03-02 14:48:00,1
2019-03-03 13:00:00,1
2019-03-03 13:06:00,1
2019-03-03 13:46:00,1
2019-03-03 15:12:00,1
2019-03-03 16:35:00,1
2019-03-03 16:36:00,1
2019-03-03 16:37:00,1
2019-03-03 17:28:00,1
2019-03-03 17:30:00,1
2019-03-04 22:26:00,1
2019-03-04 22:28:00,1
2019-03-04 22:33:00,1
2019-03-05 10:20:00,1
2019-03-06 15:10:00,1
2019-03-06 15:13:00,1
2019-03-06 16:22:00,1
2019-03-06 16:25:00,1
2019-03-06 19:39:00,1
2019-03-06 19:44:00,1
2019-03-06 23:25:00,1
2019-03-07 16:00:00,1
2019-03-07 16:14:00,1
2019-03-07 16:16:00,1
2019-03-08 13:02:00,1
2019-03-08 14:27:00,1
2019-03-08 18:21:00,2
2019-03-08 19:46:00,1
2019-03-08 19:48:00,1
2019-03-10 12:40:00,1
2019-03-14 12:00:00,1
2019-03-14 22:30:00,1
2019-03-14 22:32:00,1
2019-03-14 22:38:00,2
2019-03-16 18:52:00,1
2019-03-17 08:27:00,1
2019-03-17 08:28:00,1
2019-03-17 10:37:00,1
2019-03-19 12:47:00,2
2019-03-20 18:33:00,1
