2,"SELECT TOP # photo.objid, photo.ra, photo.dec, photo.u, photo.g, photo.r, photo.i, photo.z, spec.z AS redshift, spec.class FROM PhotoObj AS photo JOIN SpecObj AS spec ON spec.bestobjid = photo.objid WHERE photo.u BETWEEN # AND # AND photo.g BETWEEN # AND #"
2019-02-14 05:53:00,1
2019-02-14 07:08:00,1
