26,"SELECT TOP # bestObjId, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and #"
2019-02-25 01:00:00,2
2019-02-25 01:01:00,1
2019-02-25 01:02:00,1
2019-02-25 01:04:00,1
2019-02-25 01:05:00,1
2019-02-25 01:07:00,1
2019-02-25 01:08:00,1
2019-02-25 01:12:00,1
2019-02-25 01:13:00,2
2019-02-25 01:14:00,1
2019-02-25 01:15:00,2
2019-02-25 01:40:00,1
2019-03-06 01:07:00,1
2019-03-06 01:11:00,2
2019-03-06 01:13:00,2
2019-03-06 01:19:00,1
2019-03-06 01:22:00,2
2019-03-06 01:23:00,1
2019-03-06 01:24:00,2
