47,"SELECT ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-05-27 23:12:00,1
2019-05-27 23:15:00,1
2019-05-27 23:17:00,1
2019-05-27 23:18:00,1
2019-05-27 23:24:00,1
2019-05-28 00:21:00,1
2019-05-28 00:26:00,1
2019-05-28 01:09:00,1
2019-05-28 20:13:00,1
2019-05-29 07:02:00,1
2019-05-29 22:00:00,1
2019-05-29 22:02:00,1
2019-05-29 22:03:00,1
2019-05-29 22:07:00,2
2019-05-29 22:08:00,2
2019-05-29 22:09:00,2
2019-05-29 22:10:00,3
2019-05-29 22:11:00,2
2019-05-29 22:15:00,1
2019-05-29 22:22:00,1
2019-05-29 22:33:00,1
2019-05-29 22:36:00,1
2019-05-29 22:47:00,1
2019-05-29 22:48:00,3
2019-05-30 00:41:00,1
2019-05-30 00:48:00,1
2019-05-30 00:49:00,2
2019-05-30 00:51:00,1
2019-05-31 21:07:00,1
2019-05-31 21:08:00,3
2019-05-31 21:09:00,1
2019-05-31 21:31:00,2
2019-05-31 21:52:00,1
2019-05-31 21:58:00,1
2019-06-07 05:31:00,1
