20,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z FROM ..PhotoObj AS p JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE p.r < # AND (p.type = #) AND (p.flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) ) > #)"
2019-01-11 19:59:00,1
2019-01-19 13:17:00,1
2019-01-24 20:46:00,1
2019-01-28 22:08:00,1
2019-02-08 17:40:00,1
2019-02-19 16:16:00,1
2019-02-19 16:17:00,1
2019-02-22 15:06:00,1
2019-03-04 05:51:00,1
2019-03-04 05:53:00,1
2019-03-04 05:54:00,1
2019-03-04 05:55:00,1
2019-03-13 12:50:00,1
2019-03-13 13:44:00,1
2019-03-15 14:16:00,2
2019-03-15 17:19:00,1
2019-05-10 13:19:00,2
2019-07-29 17:25:00,1
