41,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-20 08:19:00,1
2019-02-26 22:23:00,1
2019-04-13 16:03:00,1
2019-04-19 10:32:00,1
2019-05-07 20:54:00,1
2019-05-08 09:14:00,1
2019-05-13 12:02:00,1
2019-06-04 07:58:00,1
2019-06-06 02:42:00,1
2019-06-23 01:23:00,1
2019-06-23 06:10:00,1
2019-06-23 06:12:00,2
2019-06-23 06:15:00,1
2019-06-23 19:10:00,1
2019-06-23 19:32:00,1
2019-06-23 19:33:00,1
2019-06-26 21:00:00,2
2019-06-26 21:01:00,1
2019-07-04 07:47:00,1
2019-07-15 09:55:00,1
2019-08-01 04:20:00,1
2019-08-11 21:41:00,1
2019-08-15 05:19:00,1
2019-08-15 05:26:00,1
2019-08-15 05:39:00,2
2019-08-15 05:40:00,2
2019-08-28 07:00:00,1
2019-09-16 20:47:00,1
2019-09-17 20:04:00,1
2019-09-17 20:07:00,1
2019-09-26 16:30:00,1
2019-10-07 07:20:00,1
2019-10-07 07:32:00,1
2019-10-11 00:12:00,1
2019-11-12 11:38:00,1
2019-11-23 01:44:00,1
2019-12-26 00:45:00,1
