61,SELECT top #
2019-01-04 16:48:00,1
2019-01-10 12:02:00,1
2019-01-14 05:37:00,1
2019-01-14 05:38:00,1
2019-01-20 11:49:00,3
2019-02-01 18:42:00,2
2019-02-12 14:42:00,1
2019-02-28 10:09:00,1
2019-02-28 14:15:00,2
2019-02-28 14:17:00,1
2019-03-02 17:02:00,1
2019-03-02 17:03:00,1
2019-03-10 18:39:00,1
2019-03-29 10:42:00,1
2019-04-16 15:47:00,1
2019-05-10 06:58:00,2
2019-05-10 07:00:00,1
2019-05-10 07:16:00,1
2019-05-10 07:17:00,2
2019-05-10 07:20:00,1
2019-05-10 07:25:00,2
2019-05-10 07:30:00,1
2019-05-10 07:31:00,1
2019-05-28 17:38:00,1
2019-05-28 17:39:00,1
2019-05-28 17:40:00,2
2019-06-02 10:28:00,1
2019-06-06 08:17:00,2
2019-06-06 09:14:00,1
2019-06-15 08:02:00,1
2019-07-03 07:22:00,1
2019-07-03 15:04:00,1
2019-07-04 08:40:00,1
2019-07-04 08:43:00,1
2019-08-22 02:53:00,1
2019-08-26 09:37:00,1
2019-09-04 14:38:00,1
2019-09-18 07:48:00,3
2019-09-18 07:49:00,1
2019-09-30 21:03:00,1
2019-10-02 04:43:00,1
2019-10-19 14:46:00,1
2019-10-19 21:57:00,1
2019-11-07 03:41:00,1
2019-11-07 03:43:00,1
2019-12-18 04:23:00,2
2019-12-20 06:53:00,2
2019-12-20 07:06:00,1
