34,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.logg, a.metals, a.alphafe, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag"
2019-01-07 23:32:00,1
2019-01-08 03:30:00,1
2019-02-08 01:32:00,1
2019-02-09 17:35:00,1
2019-02-24 11:53:00,1
2019-03-02 22:40:00,1
2019-04-01 06:24:00,1
2019-04-09 12:28:00,1
2019-04-18 05:50:00,1
2019-04-19 10:02:00,1
2019-05-03 04:43:00,1
2019-05-24 02:15:00,1
2019-06-17 09:52:00,1
2019-06-21 00:52:00,1
2019-06-29 05:35:00,1
2019-07-03 14:23:00,1
2019-07-14 08:17:00,1
2019-07-21 06:54:00,1
2019-07-25 05:13:00,1
2019-08-16 07:07:00,1
2019-08-22 07:40:00,1
2019-08-31 08:41:00,1
2019-09-05 22:35:00,1
2019-09-29 09:26:00,1
2019-10-21 00:23:00,1
2019-10-22 21:01:00,1
2019-10-23 14:55:00,1
2019-10-24 21:28:00,1
2019-10-25 00:13:00,1
2019-10-30 20:53:00,1
2019-11-01 05:30:00,1
2019-11-21 20:10:00,1
2019-12-04 11:16:00,1
2019-12-18 01:30:00,1
