1107,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type not IN () ) then # else # end) as # FROM PhotoPrimary WHERE ( (u - g > #) or (u > #) ) and (i between # and #) and (g - r > #) and ( (r - i < # + # * (g - r - #) ) or (g - r > #) ) and (i - z < #)"
2019-01-01 09:01:00,1
2019-01-02 00:56:00,1
2019-01-02 00:59:00,1
2019-01-03 11:08:00,1
2019-01-03 12:56:00,1
2019-01-03 13:39:00,1
2019-01-03 13:41:00,1
2019-01-03 13:44:00,1
2019-01-03 14:28:00,1
2019-01-03 14:31:00,1
2019-01-05 07:25:00,1
2019-01-05 07:27:00,1
2019-01-05 11:51:00,1
2019-01-07 23:54:00,1
2019-01-07 23:56:00,1
2019-01-08 03:04:00,1
2019-01-08 05:27:00,1
2019-01-08 06:00:00,1
2019-01-08 07:35:00,1
2019-01-08 08:16:00,2
2019-01-08 14:49:00,1
2019-01-08 14:51:00,1
2019-01-08 14:54:00,1
2019-01-09 14:44:00,1
2019-01-10 00:15:00,2
2019-01-10 02:13:00,1
2019-01-10 07:59:00,2
2019-01-10 08:00:00,1
2019-01-10 21:57:00,1
2019-01-10 22:00:00,1
2019-01-10 23:20:00,1
2019-01-12 14:16:00,2
2019-01-13 15:02:00,2
2019-01-13 21:54:00,2
2019-01-14 11:13:00,1
2019-01-15 22:56:00,1
2019-01-16 01:52:00,1
2019-01-16 04:40:00,1
2019-01-16 04:47:00,1
2019-01-16 11:55:00,1
2019-01-16 20:17:00,1
2019-01-16 20:22:00,1
2019-01-17 04:30:00,1
2019-01-17 23:13:00,1
2019-01-19 00:13:00,1
2019-01-19 01:15:00,2
2019-01-19 02:34:00,1
2019-01-20 06:44:00,1
2019-01-20 18:30:00,1
2019-01-21 00:42:00,1
2019-01-21 00:43:00,1
2019-01-22 08:14:00,1
2019-01-22 09:38:00,1
2019-01-22 09:39:00,1
2019-01-22 13:09:00,1
2019-01-22 21:14:00,1
2019-01-24 09:55:00,1
2019-01-24 11:21:00,1
2019-01-24 12:40:00,1
2019-01-25 05:10:00,1
2019-01-25 05:11:00,1
2019-01-25 07:53:00,1
2019-01-25 11:23:00,1
2019-01-25 13:37:00,1
2019-01-25 18:44:00,1
2019-01-26 10:34:00,1
2019-01-26 20:11:00,1
2019-01-27 09:45:00,1
2019-01-27 21:39:00,1
2019-01-28 13:55:00,1
2019-01-28 13:57:00,1
2019-01-28 14:00:00,1
2019-01-28 14:29:00,1
2019-01-28 14:31:00,1
2019-01-29 00:43:00,1
2019-01-30 15:43:00,1
2019-01-30 15:44:00,3
2019-01-30 15:46:00,3
2019-01-30 15:47:00,7
2019-01-30 21:07:00,1
2019-01-30 21:09:00,1
2019-01-30 21:12:00,1
2019-01-31 05:36:00,1
2019-02-01 02:38:00,1
2019-02-01 04:58:00,1
2019-02-01 07:28:00,1
2019-02-01 17:13:00,1
2019-02-01 17:15:00,1
2019-02-01 20:36:00,1
2019-02-01 21:14:00,1
2019-02-01 21:16:00,1
2019-02-02 07:42:00,1
2019-02-02 07:44:00,1
2019-02-02 14:37:00,1
2019-02-03 07:20:00,1
2019-02-03 10:16:00,1
2019-02-06 21:11:00,1
2019-02-06 21:12:00,1
2019-02-06 21:21:00,1
2019-02-06 22:57:00,1
2019-02-08 04:22:00,1
2019-02-08 04:25:00,1
2019-02-08 10:00:00,1
2019-02-08 16:59:00,1
2019-02-10 01:46:00,1
2019-02-10 08:04:00,1
2019-02-11 21:32:00,1
2019-02-11 21:34:00,1
2019-02-11 22:36:00,1
2019-02-12 03:10:00,1
2019-02-12 15:13:00,1
2019-02-12 15:15:00,1
2019-02-12 15:18:00,1
2019-02-12 18:47:00,1
2019-02-12 18:49:00,1
2019-02-12 19:03:00,1
2019-02-13 12:22:00,1
2019-02-13 12:24:00,1
2019-02-13 12:27:00,1
2019-02-14 12:16:00,1
2019-02-16 07:14:00,1
2019-02-16 13:00:00,1
2019-02-17 23:48:00,1
2019-02-18 03:14:00,1
2019-02-18 05:55:00,1
2019-02-18 10:40:00,1
2019-02-18 23:20:00,1
2019-02-18 23:23:00,1
2019-02-19 19:35:00,1
2019-02-20 01:32:00,1
2019-02-20 03:28:00,1
2019-02-20 08:15:00,1
2019-02-21 13:06:00,1
2019-02-22 06:32:00,1
2019-02-22 09:40:00,1
2019-02-22 09:41:00,1
2019-02-22 10:23:00,1
2019-02-25 18:04:00,1
2019-02-25 18:06:00,1
2019-02-26 01:24:00,1
2019-02-26 01:27:00,1
2019-02-26 22:11:00,1
2019-02-28 01:48:00,1
2019-02-28 08:00:00,1
2019-02-28 17:07:00,1
2019-02-28 18:10:00,1
2019-02-28 18:15:00,1
2019-02-28 20:18:00,1
2019-03-01 01:26:00,1
2019-03-01 01:51:00,1
2019-03-01 02:22:00,1
2019-03-01 03:39:00,1
2019-03-01 06:41:00,1
2019-03-01 09:24:00,1
2019-03-01 10:06:00,1
2019-03-01 10:26:00,3
2019-03-01 17:56:00,1
2019-03-01 18:31:00,1
2019-03-01 18:34:00,2
2019-03-01 18:36:00,1
2019-03-01 21:15:00,1
2019-03-03 02:20:00,1
2019-03-03 15:00:00,1
2019-03-04 13:30:00,6
2019-03-04 13:42:00,1
2019-03-04 17:02:00,1
2019-03-04 17:03:00,8
2019-03-04 17:04:00,5
2019-03-04 17:05:00,1
2019-03-04 23:00:00,1
2019-03-05 22:32:00,1
2019-03-06 13:57:00,1
2019-03-06 13:59:00,1
2019-03-06 14:02:00,1
2019-03-06 20:59:00,1
2019-03-06 21:01:00,1
2019-03-06 21:09:00,1
2019-03-06 21:18:00,1
2019-03-06 21:35:00,1
2019-03-07 05:28:00,1
2019-03-07 10:06:00,1
2019-03-07 11:04:00,1
2019-03-07 11:06:00,1
2019-03-07 20:11:00,1
2019-03-08 07:45:00,1
2019-03-08 11:18:00,1
2019-03-08 14:33:00,1
2019-03-08 15:26:00,1
2019-03-08 20:41:00,1
2019-03-08 22:33:00,1
2019-03-09 02:02:00,1
2019-03-09 04:28:00,1
2019-03-10 01:48:00,1
2019-03-10 01:50:00,1
2019-03-10 16:24:00,1
2019-03-11 00:44:00,1
2019-03-11 02:14:00,1
2019-03-11 07:54:00,1
2019-03-11 07:56:00,1
