14,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, IS# (s.specobjid, #) AS specobjid, IS# (s.z, #) AS zs , IS# (s.class, #) AS class , IS# (s.subclass, #) AS subclass FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid"
2019-07-18 09:40:00,1
2019-07-18 09:46:00,2
2019-07-18 11:01:00,1
2019-07-18 11:03:00,1
2019-07-18 11:38:00,1
2019-07-18 11:40:00,1
2019-07-18 11:41:00,1
2019-07-18 11:46:00,1
2019-07-18 11:48:00,2
2019-07-18 11:49:00,1
2019-08-13 11:12:00,1
2019-08-13 11:16:00,1
