336,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.logg, a.param_m_h, a.param_alpha_m, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and a.teff > # and a.param_m_h < #"
2019-01-03 11:18:00,1
2019-01-03 17:52:00,1
2019-01-07 10:04:00,1
2019-01-08 02:10:00,1
2019-01-08 04:31:00,1
2019-01-08 17:33:00,1
2019-01-10 02:40:00,1
2019-01-14 11:46:00,1
2019-01-16 01:48:00,1
2019-01-17 22:57:00,1
2019-01-22 15:30:00,1
2019-01-22 20:46:00,1
2019-01-26 22:36:00,1
2019-01-27 16:32:00,1
2019-01-28 16:11:00,1
2019-01-30 18:42:00,2
2019-01-31 01:20:00,1
2019-01-31 19:59:00,1
2019-02-01 12:31:00,1
2019-02-01 20:10:00,1
2019-02-01 23:39:00,1
2019-02-02 13:08:00,1
2019-02-03 04:25:00,1
2019-02-05 14:59:00,1
2019-02-09 14:14:00,1
2019-02-11 19:02:00,1
2019-02-12 02:30:00,1
2019-02-12 17:31:00,1
2019-02-13 14:41:00,1
2019-02-14 14:47:00,1
2019-02-16 00:19:00,1
2019-02-16 22:51:00,1
2019-02-17 12:51:00,1
2019-02-18 00:05:00,1
2019-02-20 03:04:00,1
2019-02-20 04:37:00,1
2019-02-21 06:20:00,1
2019-02-21 15:09:00,1
2019-02-21 18:11:00,1
2019-02-22 05:59:00,1
2019-02-24 01:30:00,1
2019-02-25 08:52:00,1
2019-02-26 00:29:00,1
2019-02-27 16:04:00,1
2019-02-28 07:04:00,1
2019-03-01 02:22:00,1
2019-03-01 10:24:00,1
2019-03-02 04:22:00,1
2019-03-03 05:05:00,1
2019-03-04 16:34:00,1
2019-03-04 22:21:00,1
2019-03-04 22:40:00,1
2019-03-06 14:11:00,1
2019-03-06 16:34:00,1
2019-03-07 10:14:00,1
2019-03-07 11:46:00,2
2019-03-09 00:57:00,1
2019-03-11 17:11:00,1
2019-03-11 23:46:00,1
2019-03-12 14:08:00,1
2019-03-13 07:53:00,1
2019-03-14 14:34:00,1
2019-03-15 01:35:00,1
2019-03-19 09:55:00,1
2019-03-19 16:52:00,2
2019-03-20 15:24:00,1
2019-03-21 01:15:00,1
2019-03-21 13:19:00,1
2019-03-23 23:58:00,1
2019-03-24 17:31:00,1
2019-03-25 09:21:00,1
2019-03-25 12:36:00,1
2019-03-25 15:09:00,1
2019-03-26 11:37:00,1
2019-03-27 19:47:00,1
2019-03-29 03:22:00,1
2019-03-30 02:20:00,1
2019-03-31 18:00:00,1
2019-04-02 12:22:00,1
2019-04-06 06:41:00,1
2019-04-07 00:19:00,1
2019-04-07 00:55:00,1
2019-04-07 15:04:00,1
2019-04-08 00:05:00,1
2019-04-09 01:50:00,1
2019-04-10 04:53:00,1
2019-04-10 18:00:00,2
2019-04-13 04:54:00,1
2019-04-15 17:27:00,1
2019-04-15 19:22:00,1
2019-04-16 03:03:00,1
2019-04-16 14:35:00,1
2019-04-18 16:32:00,1
2019-04-18 23:46:00,1
2019-04-22 12:02:00,1
2019-04-24 02:18:00,1
2019-04-24 15:56:00,1
2019-04-27 06:07:00,1
2019-04-27 09:02:00,1
2019-04-28 10:21:00,1
2019-04-28 11:03:00,1
2019-04-28 11:24:00,1
2019-04-30 10:23:00,1
2019-05-02 22:47:00,1
2019-05-04 01:01:00,1
2019-05-04 19:21:00,1
2019-05-05 05:14:00,1
2019-05-06 19:23:00,1
2019-05-11 13:43:00,1
2019-05-13 09:05:00,1
2019-05-13 10:09:00,1
2019-05-14 01:00:00,1
2019-05-16 16:39:00,1
2019-05-19 01:56:00,1
2019-05-19 12:33:00,1
2019-05-21 05:34:00,1
2019-05-21 12:28:00,1
2019-05-21 19:21:00,1
2019-05-23 04:25:00,1
2019-05-23 09:07:00,1
2019-05-23 17:14:00,1
2019-05-23 23:44:00,1
2019-05-24 22:20:00,1
2019-05-24 23:42:00,1
2019-05-25 00:02:00,1
2019-05-27 12:42:00,1
2019-05-29 03:05:00,1
2019-05-30 23:29:00,1
2019-05-31 03:32:00,1
2019-06-03 14:24:00,1
2019-06-04 14:48:00,1
2019-06-05 12:51:00,1
2019-06-05 12:52:00,1
2019-06-05 12:53:00,1
2019-06-07 22:43:00,1
2019-06-11 16:49:00,1
2019-06-11 17:29:00,1
2019-06-13 06:57:00,1
2019-06-14 08:26:00,1
2019-06-15 00:08:00,1
2019-06-17 03:29:00,1
2019-06-17 10:46:00,1
2019-06-19 01:04:00,1
2019-06-19 02:02:00,1
2019-06-19 10:16:00,1
2019-06-19 12:45:00,1
2019-06-21 05:49:00,1
2019-06-21 07:01:00,1
2019-06-22 18:20:00,1
2019-06-23 06:10:00,1
2019-06-23 21:02:00,1
2019-06-25 03:11:00,1
2019-06-25 16:23:00,1
2019-06-27 01:03:00,1
2019-06-27 02:01:00,1
2019-06-27 10:43:00,1
2019-06-29 16:49:00,1
2019-07-01 10:22:00,1
2019-07-02 05:51:00,1
2019-07-02 16:06:00,1
2019-07-03 00:33:00,1
2019-07-06 03:03:00,1
2019-07-06 08:17:00,1
2019-07-07 02:06:00,1
2019-07-07 22:06:00,1
2019-07-11 07:45:00,1
2019-07-13 23:35:00,1
2019-07-14 09:58:00,1
2019-07-14 19:52:00,1
2019-07-18 12:06:00,1
2019-07-19 00:39:00,1
2019-07-19 03:56:00,1
2019-07-20 00:40:00,1
2019-07-20 03:05:00,1
2019-07-20 04:47:00,1
2019-07-22 02:02:00,1
2019-07-22 13:45:00,1
2019-07-23 15:43:00,1
2019-07-28 22:13:00,1
2019-07-29 23:17:00,1
2019-07-30 04:16:00,1
2019-07-30 09:10:00,1
2019-07-30 21:51:00,1
2019-07-31 01:04:00,1
2019-07-31 19:34:00,1
2019-08-04 23:33:00,1
2019-08-07 04:00:00,1
2019-08-08 20:57:00,1
2019-08-09 17:58:00,1
2019-08-12 20:47:00,1
2019-08-13 17:09:00,1
2019-08-13 19:16:00,1
2019-08-16 08:04:00,1
2019-08-16 15:18:00,1
2019-08-18 12:19:00,1
2019-08-22 12:02:00,1
2019-08-23 14:31:00,1
2019-08-23 16:45:00,1
2019-08-23 19:43:00,1
2019-08-25 11:12:00,1
2019-08-25 22:24:00,1
2019-08-27 08:17:00,1
2019-08-30 13:11:00,1
2019-08-31 18:52:00,1
2019-08-31 21:03:00,1
2019-09-02 12:17:00,1
2019-09-03 15:04:00,1
2019-09-03 19:40:00,1
2019-09-08 08:55:00,1
2019-09-08 11:49:00,1
2019-09-08 17:35:00,1
2019-09-11 19:07:00,1
2019-09-11 23:11:00,1
2019-09-15 03:00:00,1
2019-09-15 06:30:00,1
2019-09-17 12:42:00,1
2019-09-17 17:26:00,1
2019-09-17 22:40:00,1
2019-09-18 12:28:00,1
2019-09-18 23:53:00,1
2019-09-19 02:49:00,1
2019-09-19 17:45:00,1
2019-09-19 18:37:00,1
2019-09-20 06:24:00,1
2019-09-20 10:53:00,1
2019-09-22 14:14:00,1
2019-09-22 19:04:00,1
2019-09-24 00:15:00,1
2019-09-25 07:45:00,1
2019-09-29 19:14:00,1
2019-10-03 16:55:00,1
2019-10-04 13:44:00,1
2019-10-08 19:51:00,1
2019-10-10 07:19:00,1
2019-10-10 14:16:00,1
2019-10-10 19:56:00,1
2019-10-11 04:28:00,1
2019-10-11 07:21:00,1
2019-10-14 03:19:00,1
2019-10-14 05:04:00,1
2019-10-16 11:55:00,1
2019-10-17 01:14:00,1
2019-10-17 05:31:00,1
2019-10-17 19:37:00,1
2019-10-19 09:28:00,1
2019-10-21 02:38:00,1
2019-10-21 17:24:00,1
2019-10-22 07:31:00,1
2019-10-22 19:50:00,1
2019-10-22 21:19:00,1
2019-10-23 21:40:00,1
2019-10-25 18:18:00,1
2019-10-28 20:25:00,1
2019-10-28 20:26:00,1
2019-10-29 05:35:00,1
2019-10-29 16:22:00,1
2019-11-01 09:29:00,1
2019-11-02 07:25:00,1
2019-11-02 10:51:00,1
2019-11-02 20:57:00,1
2019-11-04 16:48:00,1
2019-11-05 05:59:00,1
2019-11-08 19:20:00,1
2019-11-09 10:15:00,1
2019-11-10 11:28:00,1
2019-11-13 23:51:00,1
2019-11-14 01:58:00,1
2019-11-14 20:03:00,1
2019-11-14 20:38:00,1
2019-11-15 04:19:00,1
2019-11-16 06:59:00,1
2019-11-16 07:16:00,1
2019-11-16 16:57:00,1
2019-11-17 11:37:00,1
2019-11-17 17:14:00,1
2019-11-18 23:47:00,1
2019-11-19 00:16:00,1
2019-11-22 15:56:00,1
2019-11-23 17:01:00,1
2019-11-24 20:08:00,1
2019-11-27 10:06:00,1
2019-11-27 11:00:00,1
2019-11-27 16:02:00,1
2019-11-29 03:01:00,1
2019-11-30 02:58:00,1
2019-12-01 08:41:00,1
2019-12-01 20:25:00,1
2019-12-04 11:26:00,1
2019-12-05 15:38:00,1
2019-12-05 21:11:00,1
2019-12-06 19:23:00,1
2019-12-06 23:09:00,1
2019-12-07 09:57:00,1
2019-12-07 10:34:00,1
2019-12-07 19:35:00,1
2019-12-07 21:38:00,1
2019-12-07 23:11:00,1
2019-12-08 05:04:00,1
2019-12-08 21:08:00,1
2019-12-09 01:41:00,1
2019-12-09 07:20:00,1
2019-12-09 21:46:00,1
2019-12-10 04:39:00,1
2019-12-10 13:07:00,1
2019-12-11 10:42:00,1
2019-12-12 02:32:00,1
2019-12-12 15:08:00,1
2019-12-13 12:32:00,1
2019-12-13 13:34:00,1
2019-12-14 10:30:00,1
2019-12-15 20:46:00,1
2019-12-16 22:56:00,1
2019-12-20 09:10:00,1
2019-12-20 11:44:00,1
2019-12-20 17:24:00,1
2019-12-21 03:05:00,1
2019-12-22 05:37:00,1
2019-12-22 06:53:00,2
2019-12-22 15:23:00,1
2019-12-24 01:43:00,1
2019-12-24 02:56:00,1
2019-12-24 03:20:00,1
2019-12-25 05:53:00,1
2019-12-26 03:15:00,1
2019-12-26 15:23:00,1
2019-12-26 18:24:00,1
2019-12-27 07:31:00,1
2019-12-28 00:33:00,1
2019-12-28 18:42:00,1
2019-12-28 23:56:00,1
2019-12-30 17:07:00,1
