354,"SELECT TOP # specobj.plate as specobj_plate, specobj.mjd as specobj_mjd, specobj.fiberid as specobj_fiberid, specobj.ra as specobj_ra, specobj.dec as specobj_dec, star.apstar_id, star.ra as star_ra, star.dec as star_dec FROM apogeeStar AS star CROSS APPLY dbo.fGetNearestSpecObjEq (star.ra, star.dec, #) AS near JOIN specobj ON near.specobjid = specobj.specobjid"
2019-01-01 10:12:00,1
2019-01-01 13:05:00,1
2019-01-02 00:20:00,1
2019-01-02 02:01:00,1
2019-01-05 09:54:00,1
2019-01-06 09:54:00,1
2019-01-07 23:34:00,1
2019-01-08 03:30:00,1
2019-01-08 04:34:00,1
2019-01-08 06:28:00,1
2019-01-08 06:59:00,1
2019-01-10 22:49:00,1
2019-01-18 06:50:00,1
2019-01-19 08:31:00,1
2019-01-24 13:55:00,1
2019-01-25 17:59:00,1
2019-01-27 22:54:00,1
2019-01-28 16:21:00,1
2019-01-29 03:53:00,1
2019-02-02 15:53:00,1
2019-02-04 13:41:00,1
2019-02-07 07:30:00,1
2019-02-08 01:33:00,1
2019-02-08 05:25:00,1
2019-02-09 17:36:00,1
2019-02-10 05:55:00,1
2019-02-11 22:24:00,1
2019-02-12 19:56:00,1
2019-02-12 20:01:00,1
2019-02-15 23:46:00,1
2019-02-16 00:15:00,1
2019-02-16 08:21:00,1
2019-02-18 13:57:00,1
2019-02-19 00:18:00,1
2019-02-24 11:53:00,1
2019-02-26 03:02:00,1
2019-02-28 09:02:00,1
2019-02-28 19:42:00,1
2019-03-01 01:31:00,1
2019-03-01 09:54:00,1
2019-03-01 18:34:00,1
2019-03-01 22:11:00,1
2019-03-02 22:41:00,1
2019-03-07 14:15:00,1
2019-03-08 18:59:00,1
2019-03-08 22:13:00,1
2019-03-09 02:08:00,1
2019-03-09 12:27:00,1
2019-03-10 08:25:00,1
2019-03-11 11:22:00,1
2019-03-12 02:05:00,1
2019-03-15 01:15:00,1
2019-03-15 11:51:00,1
2019-03-15 19:55:00,1
2019-03-15 23:32:00,1
2019-03-17 15:35:00,1
2019-03-22 06:09:00,1
2019-03-22 22:30:00,1
2019-03-25 00:34:00,1
2019-03-25 02:30:00,1
2019-03-26 08:25:00,1
2019-03-26 10:10:00,1
2019-03-26 11:20:00,1
2019-03-26 16:36:00,1
2019-03-26 19:55:00,1
2019-03-27 22:47:00,1
2019-03-28 18:46:00,1
2019-03-30 10:05:00,1
2019-03-31 18:53:00,1
2019-03-31 20:08:00,1
2019-04-01 06:24:00,1
2019-04-01 18:26:00,1
2019-04-01 20:18:00,1
2019-04-02 00:36:00,1
2019-04-02 18:37:00,1
2019-04-04 13:47:00,1
2019-04-05 01:12:00,1
2019-04-07 19:22:00,1
2019-04-08 00:53:00,1
2019-04-09 12:28:00,1
2019-04-09 21:22:00,1
2019-04-13 14:16:00,1
2019-04-14 13:14:00,1
2019-04-14 19:16:00,1
2019-04-18 05:53:00,1
2019-04-18 10:17:00,1
2019-04-18 10:18:00,1
2019-04-18 17:18:00,1
2019-04-18 21:57:00,1
2019-04-19 10:03:00,1
2019-04-19 12:27:00,1
2019-04-19 18:37:00,1
2019-04-22 20:03:00,1
2019-04-22 23:44:00,1
2019-04-27 23:33:00,1
2019-04-28 03:56:00,1
2019-04-30 11:53:00,1
2019-05-01 01:50:00,1
2019-05-01 05:26:00,1
2019-05-02 21:42:00,2
2019-05-03 04:43:00,1
2019-05-03 14:48:00,1
2019-05-04 01:03:00,1
2019-05-06 08:55:00,1
2019-05-07 13:44:00,1
2019-05-07 17:43:00,2
2019-05-10 16:25:00,1
2019-05-11 07:47:00,1
2019-05-13 15:52:00,1
2019-05-14 08:34:00,1
2019-05-15 23:19:00,1
2019-05-16 22:02:00,1
2019-05-17 05:07:00,1
2019-05-17 05:13:00,1
2019-05-18 20:35:00,1
2019-05-20 19:41:00,1
2019-05-21 07:00:00,1
2019-05-22 10:19:00,1
2019-05-24 02:16:00,1
2019-05-24 08:57:00,1
2019-05-24 14:31:00,1
2019-05-24 20:11:00,1
2019-05-25 07:40:00,1
2019-05-29 04:51:00,1
2019-05-30 04:20:00,1
2019-05-31 18:02:00,1
2019-06-01 07:57:00,1
2019-06-03 09:19:00,1
2019-06-03 20:41:00,1
2019-06-05 18:52:00,1
2019-06-08 02:02:00,1
2019-06-08 03:23:00,3
2019-06-08 22:00:00,1
2019-06-11 02:00:00,1
2019-06-15 00:09:00,1
2019-06-16 18:02:00,1
2019-06-17 01:19:00,1
2019-06-17 09:53:00,1
2019-06-18 11:52:00,1
2019-06-19 14:30:00,1
2019-06-21 00:53:00,1
2019-06-24 01:27:00,1
2019-06-25 11:56:00,1
2019-06-25 12:00:00,1
2019-06-27 03:13:00,1
2019-06-27 13:23:00,1
2019-06-27 20:30:00,1
2019-06-27 20:31:00,1
2019-06-29 05:36:00,1
2019-07-01 06:05:00,1
2019-07-02 16:08:00,1
2019-07-02 19:07:00,1
2019-07-03 10:21:00,1
2019-07-03 14:24:00,1
2019-07-05 00:21:00,1
2019-07-06 14:52:00,1
2019-07-08 06:01:00,1
2019-07-12 03:36:00,1
2019-07-13 05:07:00,1
2019-07-14 02:29:00,1
2019-07-14 08:17:00,1
2019-07-19 00:40:00,1
2019-07-20 05:25:00,1
2019-07-21 06:55:00,1
2019-07-22 01:18:00,1
2019-07-22 05:32:00,1
2019-07-25 05:14:00,1
2019-07-25 23:08:00,1
2019-07-27 01:27:00,1
2019-07-28 08:51:00,1
2019-07-29 17:21:00,1
2019-07-30 00:29:00,1
2019-08-01 19:46:00,1
2019-08-03 08:55:00,1
2019-08-04 01:13:00,1
2019-08-04 21:51:00,1
2019-08-08 08:23:00,1
2019-08-09 15:01:00,1
2019-08-11 01:19:00,1
2019-08-12 17:13:00,1
2019-08-16 07:07:00,1
2019-08-16 23:46:00,1
2019-08-18 22:03:00,1
2019-08-22 07:41:00,1
2019-08-23 01:44:00,1
2019-08-25 04:27:00,1
2019-08-27 23:07:00,1
2019-08-28 00:29:00,1
2019-08-30 13:12:00,1
2019-08-30 14:02:00,1
2019-08-31 08:41:00,1
2019-09-01 08:47:00,1
2019-09-02 15:02:00,1
2019-09-02 18:27:00,1
2019-09-04 19:27:00,1
2019-09-05 22:36:00,1
2019-09-06 22:00:00,1
2019-09-07 17:44:00,1
2019-09-10 08:33:00,1
2019-09-11 23:13:00,1
2019-09-12 09:16:00,1
2019-09-14 17:55:00,1
2019-09-15 00:01:00,1
2019-09-17 02:39:00,1
2019-09-18 12:31:00,1
2019-09-18 14:23:00,1
2019-09-18 18:07:00,1
2019-09-18 19:32:00,1
2019-09-19 00:11:00,1
2019-09-20 01:00:00,1
2019-09-20 01:02:00,1
2019-09-21 13:26:00,1
2019-09-23 06:05:00,1
2019-09-25 17:35:00,1
2019-09-26 05:13:00,1
2019-09-27 19:29:00,1
2019-09-28 10:29:00,1
2019-09-29 02:34:00,1
2019-09-29 22:35:00,1
2019-09-30 01:48:00,1
2019-10-01 08:49:00,1
2019-10-02 07:25:00,1
2019-10-03 20:24:00,1
2019-10-05 06:18:00,1
2019-10-08 03:50:00,1
2019-10-09 17:27:00,1
2019-10-10 05:21:00,1
2019-10-10 15:56:00,1
2019-10-12 07:53:00,1
2019-10-16 00:07:00,1
2019-10-17 13:14:00,1
2019-10-19 00:30:00,1
2019-10-19 05:06:00,1
2019-10-20 21:09:00,1
2019-10-21 00:24:00,1
2019-10-21 11:08:00,1
2019-10-21 15:05:00,1
2019-10-22 21:02:00,1
2019-10-23 00:06:00,1
2019-10-23 01:11:00,1
2019-10-23 14:56:00,1
2019-10-23 21:42:00,1
2019-10-24 05:40:00,1
2019-10-24 09:48:00,1
2019-10-24 15:24:00,1
2019-10-24 21:28:00,1
2019-10-24 21:38:00,1
2019-10-24 22:52:00,1
2019-10-24 23:53:00,1
2019-10-25 00:13:00,1
2019-10-26 05:58:00,1
2019-10-26 18:55:00,1
2019-10-26 19:35:00,1
2019-10-30 20:53:00,1
2019-11-01 05:31:00,1
2019-11-02 00:24:00,1
2019-11-02 01:10:00,1
2019-11-04 14:07:00,1
2019-11-08 21:18:00,1
2019-11-09 16:46:00,1
2019-11-11 22:11:00,1
2019-11-13 19:20:00,1
2019-11-14 10:26:00,1
2019-11-15 02:59:00,1
2019-11-15 07:07:00,1
2019-11-16 13:15:00,1
2019-11-16 16:33:00,1
2019-11-19 10:49:00,1
2019-11-19 19:26:00,1
2019-11-21 20:12:00,1
2019-11-22 09:02:00,1
2019-11-22 17:27:00,1
2019-11-22 18:42:00,1
2019-11-27 12:59:00,1
2019-11-28 08:28:00,1
2019-11-29 07:05:00,1
2019-12-01 00:35:00,1
2019-12-04 11:17:00,1
2019-12-05 00:18:00,1
2019-12-05 01:09:00,1
2019-12-05 03:03:00,1
2019-12-05 11:05:00,2
2019-12-05 11:07:00,1
2019-12-05 11:14:00,1
2019-12-07 00:29:00,1
2019-12-07 21:39:00,1
2019-12-12 00:54:00,1
2019-12-12 02:34:00,1
2019-12-12 02:36:00,1
2019-12-12 10:56:00,1
2019-12-12 15:10:00,1
2019-12-12 15:12:00,1
2019-12-13 10:35:00,1
2019-12-13 12:34:00,1
2019-12-13 12:36:00,1
2019-12-13 13:34:00,1
2019-12-13 13:35:00,1
2019-12-13 13:36:00,1
2019-12-13 13:55:00,1
2019-12-14 10:27:00,1
2019-12-14 12:41:00,1
