5,"SELECT s.ra, s.dec, s.psfmag_g-s.extinction_g as g, s.psfmag_r- s.extinction_r as r, s.psfmag_i-s.extinction_i as i, pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr FROM star as s JOIN propermotions as pm ON s.objid = pm.objid WHERE s.ra BETWEEN # AND # and s.dec BETWEEN # and # AND CLEAN = # AND s.psfmag_r < # AND s.psfmag_g < #"
2019-02-21 23:49:00,1
2019-02-26 07:36:00,2
2019-02-26 17:12:00,1
2019-02-26 17:16:00,1
