4,"select s.ra, s.dec, s.z, modelmag_g, modelmag_i from specobj as s, photoobj as p where s.specobjid = p.specobjid and (s.ra between # and #) and (s.dec between # and #) and s.class = # and modelmag_g < #"
2019-12-09 01:11:00,2
2019-12-09 01:12:00,2
