4,"SELECT TOP # s.bestObjID FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-03-03 03:40:00,1
2019-09-09 11:09:00,1
2019-12-14 15:48:00,2
