30,SELECT DISTINCT FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )
2019-02-14 14:15:00,1
2019-02-14 14:59:00,1
2019-02-25 12:49:00,2
2019-02-25 12:50:00,1
2019-02-27 18:47:00,1
2019-03-01 21:51:00,1
2019-03-14 12:45:00,1
2019-03-14 12:46:00,1
2019-03-14 12:55:00,1
2019-03-14 12:58:00,1
2019-03-14 14:23:00,1
2019-04-13 16:41:00,1
2019-04-14 11:40:00,1
2019-05-15 10:34:00,1
2019-05-19 08:33:00,1
2019-05-29 21:10:00,1
2019-06-05 18:32:00,1
2019-06-05 23:30:00,1
2019-06-07 17:28:00,1
2019-06-26 17:56:00,1
2019-06-26 20:00:00,1
2019-06-26 20:01:00,1
2019-08-12 18:14:00,2
2019-08-12 18:28:00,1
2019-08-23 21:43:00,1
2019-09-11 16:38:00,1
2019-12-10 14:47:00,1
2019-12-10 14:48:00,1
