4,"SELECT ALL s.SpecObjID, s.z, L.sigma, L.height, s.mag_#, dbo.fCosmoDl (s.z) into mydb.MyTable_# from SpecObjAll as s JOIN SpecLine as L ON s.SpecObjID = L.specObjID WHERE s.specClass = # AND L.LineID = # AND s.z > # AND L.height > # AND abs (s.z - #) < #"
2019-10-17 04:23:00,1
2019-10-17 04:24:00,2
2019-10-17 04:25:00,1
