26,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.devAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > # and p.ra between # and # and s.z < # and p.g < #"
2019-11-22 10:41:00,1
2019-11-22 10:51:00,1
2019-11-22 11:09:00,1
2019-11-23 02:35:00,1
2019-11-23 10:43:00,1
2019-11-23 11:41:00,1
2019-11-23 11:56:00,1
2019-11-23 11:57:00,1
2019-11-23 11:58:00,1
2019-11-24 10:07:00,1
2019-11-25 08:52:00,5
2019-11-25 08:53:00,3
2019-11-26 07:12:00,1
2019-11-26 08:27:00,1
2019-11-26 11:53:00,1
2019-11-27 05:14:00,1
2019-11-27 15:19:00,1
2019-11-27 15:41:00,1
2019-11-28 05:02:00,1
2019-12-01 15:39:00,1
