8,"select source = run1, target = run2, weight = sum (cts) from astrometry.budavari.S8#r2# where type1 = # and type2 = # and arcsec< # and (run1 IN () and run2 IN () ) and mid1 = mid2 and mid1 = # group by run1, run2 having sum (cts) > # order by weight desc"
2019-11-05 16:51:00,6
2019-11-05 16:53:00,2
