28,"select ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, objID from photoObj where type = # AND modelmag_u-modelmag_r < .#"
2019-02-19 08:44:00,1
2019-02-27 17:25:00,1
2019-03-05 19:47:00,1
2019-03-07 12:36:00,1
2019-03-22 14:30:00,1
2019-03-26 10:25:00,1
2019-03-28 03:46:00,1
2019-03-28 03:47:00,1
2019-03-28 03:49:00,1
2019-03-29 23:56:00,1
2019-04-04 00:08:00,1
2019-04-04 00:09:00,1
2019-04-04 23:07:00,1
2019-04-30 04:29:00,1
2019-05-02 17:32:00,1
2019-05-02 17:33:00,2
2019-05-02 17:34:00,1
2019-05-30 23:26:00,1
2019-06-08 21:06:00,1
2019-06-10 15:29:00,1
2019-06-12 15:56:00,1
2019-06-19 15:15:00,1
2019-06-28 22:01:00,1
2019-09-05 13:47:00,1
2019-09-12 22:31:00,1
2019-10-27 10:14:00,1
2019-11-26 16:12:00,1
