5,"select top1# p.ra, p.dec, p.dered_u, p.dered_r, s.z from PhotoObj AS p join SpecObj AS s ON s.bestobjid = p.objid where s.z BETWEEN # AND # AND s.class = # AND s.zWarning = #"
2019-05-07 14:09:00,2
2019-05-07 14:10:00,1
2019-05-07 14:14:00,1
2019-05-07 14:16:00,1
