2,"SELECT g.ra, g.dec, g.z, s.lgm_tot_p5# into mydb.MyTable_# from SpecPhoto as g JOIN galSpecExtra as s ON g.specObjID = s.specObjID WHERE g.ra BETWEEN # and # AND g.dec BETWEEN # and # AND g.z BETWEEN # and # AND s.lgm_tot_p5# > #"
2019-05-02 12:10:00,1
2019-05-02 12:16:00,1
