28,"SELECT objID, profMean, profErr, band, bin into mydb.MyTable from PhotoProfile WHERE band BETWEEN # AND # AND objID IN ()"
2019-11-13 06:58:00,2
2019-11-13 07:00:00,1
2019-11-13 07:01:00,3
2019-11-13 07:02:00,2
2019-11-13 08:09:00,2
2019-11-13 08:10:00,1
2019-11-13 08:16:00,2
2019-11-13 08:28:00,2
2019-11-13 08:37:00,1
2019-11-13 08:40:00,1
2019-11-13 08:43:00,1
2019-11-13 08:46:00,1
2019-11-13 08:47:00,1
2019-11-13 08:49:00,1
2019-11-13 08:50:00,1
2019-11-13 08:52:00,1
2019-11-13 09:07:00,1
2019-11-13 09:11:00,1
2019-11-13 09:16:00,2
2019-11-13 09:19:00,1
