13,"select s.plate, s.mjd, s.fiberid, spp.snr, s.subclass FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.SPECOBJID = spp.SPECOBJID and spp.SPECOBJID = ph.specObjID and s.class = # and s.plate = # and s.mjd = # and s.fiberid = #"
2019-10-16 04:35:00,1
2019-10-16 04:36:00,1
2019-10-16 04:37:00,1
2019-10-16 04:38:00,3
2019-10-16 04:39:00,1
2019-10-16 04:40:00,2
2019-10-16 04:41:00,2
2019-10-16 04:42:00,2
