21329,"select objid, run, rerun, camcol, field, rowc, colc, petrorad_r, rowc_g, rowc_i, colc_g, colc_i from Galaxy where objid IN () order by objid asc"
2019-01-06 17:47:00,34
2019-01-06 17:48:00,133
2019-01-06 17:49:00,131
2019-01-06 17:50:00,130
2019-01-06 17:51:00,129
2019-01-06 17:52:00,127
2019-01-06 17:53:00,116
2019-01-06 17:54:00,128
2019-01-06 17:55:00,12
2019-03-16 00:10:00,31
2019-03-16 00:11:00,1
2019-03-16 00:12:00,1
2019-03-16 00:14:00,44
2019-03-16 00:15:00,71
2019-03-16 00:16:00,57
2019-03-16 00:17:00,57
2019-03-16 00:18:00,54
2019-03-16 00:19:00,52
2019-03-16 00:20:00,54
2019-03-16 00:21:00,51
2019-03-16 00:22:00,48
2019-03-16 00:23:00,57
2019-03-16 00:24:00,55
2019-03-16 00:25:00,56
2019-03-16 00:26:00,56
2019-03-16 00:27:00,18
2019-03-16 03:03:00,24
2019-03-16 03:04:00,33
2019-03-16 03:08:00,7
2019-03-16 03:09:00,52
2019-03-16 03:10:00,57
2019-03-16 03:11:00,55
2019-03-16 03:12:00,58
2019-03-16 03:13:00,58
2019-03-16 03:14:00,55
2019-03-16 03:15:00,57
2019-03-16 03:16:00,53
2019-03-16 03:17:00,57
2019-03-16 03:18:00,58
2019-03-16 03:19:00,54
2019-03-16 03:20:00,55
2019-03-16 03:21:00,54
2019-03-16 03:22:00,51
2019-03-16 03:23:00,51
2019-03-16 03:24:00,44
2019-03-16 03:25:00,47
2019-03-16 03:26:00,54
2019-03-16 03:27:00,54
2019-03-16 03:28:00,5
2019-03-16 03:32:00,49
2019-03-16 03:33:00,54
2019-03-16 03:34:00,51
2019-03-16 03:35:00,53
2019-03-16 03:36:00,56
2019-03-16 03:37:00,19
2019-03-16 03:43:00,20
2019-03-16 03:44:00,54
2019-03-16 03:45:00,25
2019-03-16 11:21:00,41
2019-03-16 11:22:00,106
2019-03-16 11:23:00,111
2019-03-16 11:24:00,107
2019-03-16 11:25:00,107
2019-03-16 11:26:00,100
2019-03-16 11:27:00,100
2019-03-16 11:28:00,82
2019-03-16 11:29:00,87
2019-03-16 11:30:00,93
2019-03-16 11:31:00,83
2019-03-16 11:32:00,88
2019-03-16 11:33:00,30
2019-06-17 17:09:00,94
2019-06-17 17:10:00,111
2019-06-17 17:11:00,105
2019-06-17 17:12:00,107
2019-06-17 17:13:00,106
2019-06-17 17:14:00,108
2019-06-17 17:15:00,106
2019-06-17 17:16:00,107
2019-06-17 17:17:00,94
2019-06-17 17:18:00,110
2019-06-17 17:19:00,110
2019-06-17 17:20:00,109
2019-06-17 17:21:00,115
2019-06-17 17:22:00,102
2019-06-17 17:23:00,108
2019-06-17 17:24:00,109
2019-06-17 17:25:00,110
2019-06-17 17:26:00,103
2019-06-17 17:27:00,105
2019-06-17 17:28:00,109
2019-06-17 17:29:00,86
2019-06-19 10:26:00,25
2019-06-19 10:27:00,125
2019-06-19 10:28:00,105
2019-06-19 10:29:00,103
2019-06-19 10:30:00,101
2019-06-19 10:31:00,103
2019-06-19 10:32:00,101
2019-06-19 10:33:00,100
2019-06-19 10:34:00,99
2019-06-19 10:35:00,101
2019-06-19 10:36:00,100
2019-06-19 10:37:00,102
2019-06-19 10:38:00,101
2019-06-19 10:39:00,104
2019-06-19 10:40:00,93
2019-06-19 10:41:00,95
2019-06-19 10:42:00,99
2019-06-19 10:43:00,101
2019-06-19 10:44:00,95
2019-06-19 10:45:00,96
2019-06-19 10:46:00,98
2019-06-19 10:47:00,99
2019-06-19 10:48:00,68
2019-07-18 15:23:00,5
2019-07-18 15:24:00,4
2019-07-18 15:25:00,46
2019-07-18 15:26:00,16
2019-07-18 15:27:00,52
2019-07-18 15:28:00,65
2019-07-18 15:29:00,62
2019-07-18 15:30:00,67
2019-07-18 15:31:00,65
2019-07-18 15:32:00,60
2019-07-18 15:33:00,61
2019-07-18 15:34:00,48
2019-07-18 15:35:00,39
2019-07-18 20:06:00,1
2019-07-18 20:08:00,1
2019-07-18 20:10:00,40
2019-07-18 20:11:00,59
2019-07-18 20:12:00,58
2019-07-18 20:13:00,58
2019-07-18 20:14:00,61
2019-07-18 20:15:00,54
2019-07-18 20:16:00,61
2019-07-18 20:17:00,59
2019-07-18 20:18:00,58
2019-07-18 20:19:00,61
2019-07-18 20:20:00,59
2019-07-18 20:21:00,58
2019-07-18 20:22:00,60
2019-07-18 20:23:00,59
2019-07-18 20:24:00,59
2019-07-18 20:25:00,59
