26,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g FROM PhotoPrimary WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND type = # AND clean = # AND modelMag_u - modelMag_g < #"
2019-01-21 18:16:00,1
2019-01-30 22:12:00,1
2019-03-04 01:55:00,1
2019-03-04 02:11:00,1
2019-04-19 05:32:00,1
2019-04-19 05:36:00,1
2019-09-02 10:05:00,1
2019-09-02 10:06:00,1
2019-10-08 21:20:00,1
2019-12-19 23:43:00,1
2019-12-19 23:48:00,1
2019-12-20 00:00:00,1
2019-12-20 00:01:00,1
2019-12-24 17:33:00,1
2019-12-24 18:10:00,1
2019-12-24 18:13:00,1
2019-12-24 18:23:00,1
2019-12-26 21:27:00,2
2019-12-26 21:32:00,1
2019-12-26 21:47:00,1
2019-12-26 21:51:00,2
2019-12-26 22:01:00,1
2019-12-26 22:02:00,1
2019-12-27 01:56:00,1
