48290,select * from fDocFunctionParams (#)
2019-01-01 00:46:00,1
2019-01-01 03:50:00,1
2019-01-01 04:42:00,1
2019-01-01 10:38:00,1
2019-01-01 10:47:00,1
2019-01-01 11:42:00,1
2019-01-01 15:29:00,2
2019-01-01 16:10:00,1
2019-01-01 17:12:00,1
2019-01-01 21:54:00,1
2019-01-01 22:52:00,1
2019-01-02 04:20:00,1
2019-01-02 07:04:00,1
2019-01-02 08:45:00,1
2019-01-02 09:27:00,1
2019-01-02 09:28:00,1
2019-01-02 10:37:00,15
2019-01-02 10:38:00,34
2019-01-02 10:39:00,3
2019-01-02 12:17:00,2
2019-01-02 13:50:00,9
2019-01-02 13:51:00,4
2019-01-02 14:31:00,1
2019-01-02 16:37:00,1
2019-01-02 17:37:00,2
2019-01-02 18:42:00,1
2019-01-02 18:45:00,1
2019-01-02 18:46:00,1
2019-01-02 19:17:00,18
2019-01-02 19:18:00,7
2019-01-03 01:25:00,1
2019-01-03 09:03:00,1
2019-01-03 09:21:00,1
2019-01-03 09:53:00,1
2019-01-03 11:13:00,1
2019-01-03 13:01:00,1
2019-01-03 13:56:00,1
2019-01-03 15:00:00,1
2019-01-03 16:13:00,2
2019-01-03 16:20:00,3
2019-01-03 16:23:00,2
2019-01-03 16:26:00,2
2019-01-03 16:31:00,1
2019-01-03 16:38:00,1
2019-01-03 16:44:00,1
2019-01-03 17:53:00,1
2019-01-03 18:07:00,1
2019-01-03 18:23:00,1
2019-01-03 18:30:00,1
2019-01-03 19:06:00,1
2019-01-03 23:23:00,1
2019-01-04 02:55:00,1
2019-01-04 05:41:00,1
2019-01-04 07:02:00,1
2019-01-04 07:12:00,3
2019-01-04 09:15:00,2
2019-01-04 11:22:00,1
2019-01-04 13:18:00,1
2019-01-04 14:07:00,1
2019-01-04 14:11:00,1
2019-01-04 15:13:00,1
2019-01-04 17:13:00,1
2019-01-04 17:57:00,1
2019-01-04 19:08:00,1
2019-01-04 19:09:00,1
2019-01-04 19:17:00,1
2019-01-04 22:24:00,1
2019-01-05 01:36:00,1
2019-01-05 01:37:00,1
2019-01-05 07:23:00,1
2019-01-05 08:04:00,3
2019-01-05 08:05:00,7
2019-01-05 11:01:00,1
2019-01-05 16:03:00,1
2019-01-05 16:07:00,1
2019-01-05 16:13:00,1
2019-01-05 16:57:00,1
2019-01-05 16:58:00,1
2019-01-05 17:33:00,1
2019-01-05 19:02:00,1
2019-01-05 19:10:00,1
2019-01-05 21:27:00,1
2019-01-05 22:28:00,1
2019-01-06 02:53:00,1
2019-01-06 04:22:00,1
2019-01-06 04:31:00,12
2019-01-06 04:44:00,10
2019-01-06 04:45:00,2
2019-01-06 10:08:00,1
2019-01-06 10:29:00,1
2019-01-06 10:35:00,1
2019-01-06 11:24:00,2
2019-01-06 11:25:00,2
2019-01-06 13:06:00,1
2019-01-06 15:01:00,2
2019-01-06 15:02:00,1
2019-01-06 15:20:00,1
2019-01-06 16:57:00,2
2019-01-06 18:07:00,13
2019-01-06 18:09:00,2
2019-01-06 18:10:00,7
2019-01-06 18:12:00,1
2019-01-06 18:33:00,4
2019-01-06 20:01:00,1
2019-01-06 21:22:00,1
2019-01-06 21:43:00,1
2019-01-06 21:52:00,1
2019-01-06 21:56:00,1
2019-01-06 22:17:00,1
2019-01-06 22:25:00,12
2019-01-06 22:34:00,1
2019-01-06 23:25:00,1
2019-01-06 23:39:00,1
2019-01-07 01:25:00,1
2019-01-07 05:57:00,1
2019-01-07 06:20:00,1
2019-01-07 07:57:00,1
2019-01-07 09:28:00,1
2019-01-07 10:08:00,1
2019-01-07 12:04:00,1
2019-01-07 12:26:00,1
2019-01-07 15:09:00,1
2019-01-07 17:14:00,1
2019-01-07 17:32:00,1
2019-01-07 18:09:00,1
