2,"SELECT TOP # s.specobjid , s.ra, s.dec, p.cx, p.cy, p.cz, s.velDisp, p.PetroRad_r FROM SpecObj s JOIN photoObj p ON p.objId = s.bestObjID WHERE s.class = GALAXY AND s.ra between # and #"
2019-11-20 13:25:00,1
2019-11-20 14:10:00,1
