1138,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.z, s.zErr FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #)"
2019-03-21 16:39:00,59
2019-03-21 16:40:00,108
2019-03-21 16:41:00,109
2019-03-21 16:42:00,104
2019-03-21 16:43:00,111
2019-03-21 16:44:00,111
2019-03-21 16:45:00,104
2019-03-21 16:46:00,111
2019-03-21 16:47:00,111
2019-03-21 16:48:00,109
2019-03-21 16:49:00,31
2019-12-11 16:51:00,10
2019-12-11 16:54:00,10
2019-12-11 16:55:00,10
2019-12-11 16:56:00,10
2019-12-11 16:57:00,10
2019-12-11 16:58:00,10
2019-12-11 16:59:00,4
2019-12-11 17:00:00,6
