4,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND (s.primTarget & (dbo.fPrimTarget (#) + dbo.fPrimTarget (#) + dbo.fPrimTarget (#) + dbo.fPrimTarget (#) ) > #)"
2019-10-05 12:39:00,3
2019-10-05 12:41:00,1
