746,select objid from photoobjall where photoobjall.dec between -.# and -.# and photoobjall.ra between # and #
2019-02-27 03:21:00,1
2019-02-27 06:36:00,2
2019-02-27 06:37:00,1
2019-02-27 06:38:00,1
2019-02-27 06:39:00,1
2019-02-27 06:40:00,2
2019-02-27 06:42:00,1
2019-02-27 08:40:00,1
2019-02-27 09:05:00,1
2019-02-27 09:07:00,1
2019-02-27 10:04:00,6
2019-02-27 14:04:00,8
2019-02-27 16:43:00,4
2019-02-27 16:58:00,2
2019-02-27 17:50:00,1
2019-02-27 17:51:00,1
2019-02-27 20:42:00,8
2019-02-28 07:31:00,12
2019-03-02 04:20:00,28
2019-03-02 11:06:00,1
2019-03-02 11:07:00,3
2019-03-03 04:13:00,1
2019-03-04 23:41:00,8
2019-03-04 23:42:00,2
2019-03-05 05:45:00,2
2019-03-05 06:27:00,1
2019-03-05 08:52:00,2
2019-03-05 09:25:00,1
2019-03-05 09:33:00,11
2019-03-05 09:34:00,1
2019-03-05 10:49:00,3
2019-03-05 11:04:00,1
2019-03-05 11:05:00,1
2019-03-05 11:13:00,1
2019-03-05 11:14:00,1
2019-03-05 16:46:00,3
2019-03-05 17:40:00,1
2019-03-05 18:05:00,3
2019-03-05 18:06:00,8
2019-03-05 18:07:00,5
2019-03-05 18:08:00,4
2019-03-05 18:21:00,1
2019-03-05 18:22:00,7
2019-03-05 18:23:00,9
2019-03-05 18:24:00,1
2019-03-05 18:25:00,3
2019-03-05 18:27:00,2
2019-03-05 18:28:00,32
2019-03-05 18:29:00,12
2019-03-05 18:30:00,5
2019-03-05 18:31:00,10
2019-03-05 20:06:00,1
2019-03-06 19:30:00,1
2019-03-06 20:13:00,1
2019-03-06 21:00:00,2
2019-03-06 21:28:00,1
2019-03-06 21:35:00,1
2019-03-06 21:43:00,1
2019-03-06 21:58:00,1
2019-03-06 21:59:00,1
2019-03-06 22:03:00,1
2019-03-06 22:26:00,1
2019-03-06 22:39:00,2
2019-03-06 23:00:00,1
2019-03-06 23:23:00,1
2019-03-06 23:26:00,1
2019-03-06 23:29:00,1
2019-03-06 23:31:00,1
2019-03-06 23:49:00,1
2019-03-06 23:50:00,1
2019-03-07 00:06:00,1
2019-03-07 00:08:00,1
2019-03-07 00:12:00,1
2019-03-07 00:14:00,2
2019-03-07 00:17:00,1
2019-03-07 00:32:00,1
2019-03-07 00:33:00,1
2019-03-07 00:35:00,1
2019-03-07 01:03:00,1
2019-03-07 01:04:00,1
2019-03-07 01:13:00,2
2019-03-07 01:14:00,1
2019-03-07 01:15:00,1
2019-03-07 01:23:00,1
2019-03-07 01:35:00,1
2019-03-07 01:42:00,1
2019-03-07 01:51:00,1
2019-03-07 01:56:00,1
2019-03-07 02:10:00,1
2019-03-07 02:20:00,1
2019-03-07 02:48:00,1
2019-03-07 02:55:00,1
2019-03-07 02:56:00,1
2019-03-07 03:09:00,1
2019-03-07 03:11:00,1
2019-03-07 03:14:00,1
2019-03-07 03:37:00,1
2019-03-07 04:28:00,1
2019-03-07 04:29:00,1
2019-03-07 04:30:00,1
2019-03-07 07:17:00,1
2019-03-07 07:18:00,3
2019-03-07 07:19:00,9
2019-03-07 07:20:00,2
2019-03-07 07:21:00,1
2019-03-07 10:58:00,2
2019-03-07 10:59:00,1
2019-03-07 12:41:00,2
2019-03-07 12:42:00,4
2019-03-07 12:43:00,1
2019-03-07 12:46:00,3
2019-03-07 12:49:00,2
2019-03-07 12:51:00,2
2019-03-07 12:54:00,3
2019-03-07 12:58:00,1
2019-03-07 16:01:00,1
2019-03-07 23:05:00,3
2019-03-07 23:06:00,7
2019-03-08 02:53:00,6
2019-03-08 07:42:00,1
2019-03-08 07:43:00,1
2019-03-08 07:45:00,1
2019-03-08 07:46:00,3
2019-03-08 18:27:00,1
2019-03-08 18:28:00,1
2019-03-11 02:34:00,2
2019-03-11 02:36:00,1
2019-03-11 02:37:00,1
2019-03-11 02:48:00,1
2019-03-11 02:49:00,1
2019-03-11 02:50:00,5
2019-03-11 02:52:00,4
2019-03-11 02:53:00,1
2019-03-11 02:54:00,3
2019-03-11 02:55:00,3
2019-03-11 02:56:00,2
2019-03-11 02:57:00,4
2019-03-11 02:58:00,1
2019-03-11 02:59:00,4
2019-03-11 03:01:00,3
2019-03-11 03:02:00,1
2019-03-11 03:03:00,3
2019-03-11 03:05:00,3
2019-03-11 03:06:00,1
2019-03-11 03:07:00,2
2019-03-11 03:08:00,1
2019-03-11 03:10:00,3
2019-03-11 03:15:00,1
2019-03-11 03:16:00,3
2019-03-11 03:17:00,1
2019-03-11 03:18:00,2
2019-03-11 03:19:00,1
2019-03-11 03:22:00,2
2019-03-11 03:25:00,1
2019-03-11 03:26:00,1
