7,"select s.objid, s.ra, s.dec, s.u, s.g, s.err_g, s.r, s.err_r, s.i, s.err_i, s.z, s.g-s.r as g_minus_r, s.type into mydb.MyTable from star s, dbo.fGetNearbyObjEq (#, #, #) n where s.objid = n.objid and s.type = # and s.err_r< # and s.r< #"
2019-09-18 12:26:00,1
2019-09-25 00:18:00,1
2019-09-25 00:19:00,1
2019-09-25 00:23:00,1
2019-09-25 00:24:00,2
2019-10-15 19:12:00,1
