25,select top # * from [temp]
2019-03-17 04:43:00,1
2019-04-03 09:33:00,1
2019-04-13 11:54:00,1
2019-04-26 14:11:00,1
2019-04-26 14:13:00,1
2019-04-26 14:14:00,1
2019-04-26 14:20:00,1
2019-04-26 14:21:00,1
2019-04-26 14:22:00,1
2019-04-26 14:24:00,1
2019-04-26 14:37:00,1
2019-04-26 14:40:00,1
2019-04-26 14:48:00,1
2019-06-14 15:47:00,1
2019-06-14 16:50:00,1
2019-06-14 16:53:00,1
2019-06-14 17:02:00,1
2019-06-14 17:03:00,1
2019-06-18 13:37:00,1
2019-07-19 00:25:00,1
2019-07-19 01:04:00,1
2019-07-19 01:10:00,1
2019-07-19 01:13:00,1
2019-08-08 06:05:00,1
2019-08-09 03:34:00,1
