2,"SELECT top # specObjID, z as redshift, ra, dec, cModelMag_u, cModelMagErr_u, cModelMag_g, cModelMagErr_g, cModelMag_r, cModelMagErr_r, cModelMag_i, cModelMagErr_i, cModelMag_z, cModelMagErr_z, class, subClass into mydb.MyTable_# from SpecPhoto WHERE zWarning = #"
2019-07-10 08:14:00,1
2019-07-10 08:47:00,1
