6,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and # class = #"
2019-06-12 11:37:00,2
2019-06-12 11:38:00,1
2019-06-19 16:25:00,1
2019-06-19 20:53:00,1
2019-06-19 20:54:00,1
