2,"SELECT s.plate, s.mjd, s.fiberid, s.specobjid, s.ra, s.dec FROM #upload u JOIN SpecObjAll s ON (s.plate = u.up_plate AND s.mjd = u.up_mjd AND s.fiberID = u.up_fiber)"
2019-04-18 12:52:00,1
2019-04-18 12:55:00,1
