4,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.z, s.plate, p.mjd, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-08-30 12:45:00,1
2019-09-02 06:36:00,1
2019-09-02 06:38:00,2
