726,"SELECT plate, mjd FROM apogeePlate WHERE location_id = # SELECT plate, mjd FROM apogeePlate WHERE name = #"
2019-01-01 10:05:00,1
2019-01-01 11:11:00,1
2019-01-02 00:21:00,1
2019-01-02 00:50:00,1
2019-01-02 01:57:00,1
2019-01-03 11:17:00,1
2019-01-03 17:52:00,1
2019-01-04 05:51:00,1
2019-01-04 11:14:00,1
2019-01-05 09:36:00,1
2019-01-06 12:46:00,1
2019-01-07 00:13:00,1
2019-01-07 23:34:00,1
2019-01-08 02:08:00,1
2019-01-08 03:31:00,1
2019-01-08 04:31:00,1
2019-01-08 06:28:00,1
2019-01-08 06:56:00,1
2019-01-08 07:29:00,1
2019-01-08 17:31:00,1
2019-01-08 22:59:00,1
2019-01-09 00:05:00,1
2019-01-10 02:40:00,1
2019-01-10 22:47:00,1
2019-01-11 04:46:00,1
2019-01-12 03:24:00,1
2019-01-12 09:15:00,1
2019-01-12 20:05:00,1
2019-01-13 08:33:00,1
2019-01-13 09:13:00,1
2019-01-14 11:45:00,1
2019-01-17 22:57:00,1
2019-01-19 20:50:00,1
2019-01-22 08:30:00,1
2019-01-22 15:29:00,1
2019-01-22 21:36:00,1
2019-01-23 23:29:00,1
2019-01-24 13:49:00,1
2019-01-25 16:00:00,1
2019-01-25 17:48:00,1
2019-01-26 22:35:00,1
2019-01-27 04:38:00,1
2019-01-27 16:30:00,1
2019-01-27 22:47:00,1
2019-01-28 14:36:00,1
2019-01-28 15:10:00,1
2019-01-28 16:11:00,1
2019-01-28 16:15:00,1
2019-01-29 03:13:00,1
2019-01-29 03:49:00,1
2019-01-30 00:15:00,1
2019-01-30 09:33:00,1
2019-01-30 18:40:00,2
2019-01-31 01:17:00,1
2019-01-31 21:30:00,1
2019-02-01 12:28:00,1
2019-02-01 23:38:00,1
2019-02-02 13:06:00,1
2019-02-02 15:47:00,1
2019-02-04 13:42:00,1
2019-02-04 14:14:00,1
2019-02-04 14:44:00,1
2019-02-07 05:13:00,1
2019-02-08 01:33:00,1
2019-02-08 05:20:00,1
2019-02-08 18:15:00,1
2019-02-08 22:21:00,1
2019-02-08 23:39:00,1
2019-02-09 17:37:00,1
2019-02-09 18:00:00,1
2019-02-10 05:56:00,1
2019-02-10 09:46:00,1
2019-02-11 04:30:00,1
2019-02-11 11:20:00,1
2019-02-11 19:01:00,1
2019-02-11 22:22:00,1
2019-02-12 17:30:00,1
2019-02-12 19:51:00,1
2019-02-12 19:57:00,1
2019-02-13 14:39:00,1
2019-02-13 21:46:00,1
2019-02-14 10:06:00,1
2019-02-14 12:17:00,1
2019-02-14 12:22:00,1
2019-02-14 14:43:00,1
2019-02-14 18:53:00,1
2019-02-15 04:06:00,1
2019-02-15 18:03:00,1
2019-02-15 22:40:00,1
2019-02-16 02:18:00,1
2019-02-16 18:22:00,1
2019-02-17 09:10:00,1
2019-02-18 03:09:00,1
2019-02-18 17:31:00,1
2019-02-19 00:14:00,1
2019-02-19 13:10:00,1
2019-02-20 03:49:00,1
2019-02-20 04:01:00,1
2019-02-21 15:07:00,1
2019-02-21 18:10:00,1
2019-02-21 18:15:00,1
2019-02-23 09:21:00,1
2019-02-23 14:13:00,1
2019-02-26 00:28:00,1
2019-02-26 02:58:00,1
2019-02-27 19:56:00,1
2019-02-27 22:35:00,1
2019-02-28 03:37:00,1
2019-02-28 07:03:00,1
2019-02-28 08:58:00,1
2019-02-28 16:14:00,1
2019-03-01 07:14:00,1
2019-03-01 10:24:00,1
2019-03-01 13:04:00,1
2019-03-01 15:33:00,1
2019-03-01 20:25:00,1
2019-03-01 22:09:00,1
2019-03-01 22:36:00,1
2019-03-02 02:13:00,1
2019-03-02 22:42:00,1
2019-03-03 05:04:00,1
2019-03-04 14:35:00,1
2019-03-04 14:45:00,1
2019-03-04 20:01:00,1
2019-03-05 03:46:00,1
2019-03-05 05:19:00,1
2019-03-05 07:37:00,1
2019-03-05 08:59:00,1
2019-03-06 14:28:00,1
2019-03-06 16:33:00,1
2019-03-07 10:11:00,1
2019-03-07 14:10:00,1
