23,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-03-06 18:47:00,1
2019-04-13 13:15:00,1
2019-10-21 19:54:00,1
2019-10-23 17:33:00,2
2019-10-23 18:24:00,2
2019-10-23 18:26:00,1
2019-10-23 18:27:00,1
2019-10-23 18:29:00,1
2019-10-23 18:31:00,1
2019-10-23 18:32:00,1
2019-10-23 18:36:00,1
2019-10-23 18:54:00,3
2019-10-26 00:14:00,1
2019-10-28 20:58:00,1
2019-11-12 09:49:00,2
2019-11-12 14:26:00,1
2019-12-13 18:02:00,1
2019-12-13 18:03:00,1
