6,"SELECT plate, mjd, fiberid FROM SpecObj WHERE z BETWEEN # and # AND class = #"
2019-08-14 23:25:00,1
2019-08-14 23:27:00,2
2019-08-14 23:45:00,1
2019-08-14 23:49:00,2
