43,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and p.g < # and (s.class = #)"
2019-01-25 01:13:00,2
2019-01-25 01:14:00,3
2019-01-25 01:15:00,1
2019-01-25 01:16:00,1
2019-01-25 01:17:00,3
2019-01-25 01:18:00,4
2019-01-25 01:19:00,4
2019-01-25 01:20:00,2
2019-01-25 01:22:00,1
2019-01-25 01:26:00,1
2019-01-25 01:27:00,3
2019-01-25 01:28:00,9
2019-01-25 01:29:00,9
