1574,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-19 15:25:00,1
2019-06-19 15:31:00,1
2019-06-19 15:46:00,1
2019-06-19 15:48:00,1
2019-06-19 15:49:00,6
2019-06-19 15:53:00,40
2019-06-19 15:54:00,64
2019-06-19 15:55:00,137
2019-06-19 15:56:00,80
2019-06-20 16:45:00,1
2019-06-20 16:49:00,1
2019-06-20 19:13:00,4
2019-06-20 19:28:00,12
2019-06-20 19:29:00,42
2019-06-20 19:30:00,33
2019-06-20 19:31:00,2
2019-06-20 20:17:00,74
2019-06-20 20:18:00,341
2019-06-20 20:19:00,327
2019-06-20 20:20:00,302
2019-06-20 20:21:00,78
2019-06-24 14:55:00,3
2019-06-24 14:56:00,8
2019-06-24 14:57:00,9
2019-06-24 14:58:00,5
2019-06-24 21:17:00,1
