5,"SELECT TOP # a.OBJID, a.RA, a.DEC, dbo.fGetNearestObjIdAllEq (#, #, #) AS myid FROM MyDB.akari_# as a, photoobjall AS p"
2019-08-26 09:07:00,1
2019-08-26 09:08:00,4
