3,"SELECT TOP # p.ObjId, p.petroRad_u as Pru, p.petroRad_g as Prg, p.petroRad_r as Prr, p.petroRad_i as Pri, p.petroRad_z as Prz, p.petroRadErr_u as EPru, p.petroRadErr_g as EPrg, p.petroRadErr_r as EPrr, p.petroRadErr_i as EPri, p.petroRadErr_z as EPrz, p.petroR5#_u as r5#u, p.petroR5#_g as r5#g, p.petroR5#_r as r5#r, p.petroR5#_i as r5#i, p.petroR5#_z as r5#z, p.petroR9#_u as r9#u, p.petroR9#_g as r9#g, p.petroR9#_r as r9#r, p.petroR9#_i as r9#i, p.petroR9#_z as r9#z, p.expAB_g as expABg, p.expAB_r as expABr, p.u as um, p.g as gm, p.r as rm, p.i as im, p.z as zm, p.err_u as Eum, p.err_g as Egm, p.err_r as Erm, p.err_i as Eim, p.err_z as Ezm, p.dered_u as dum, p.dered_g as dgm, p.dered_r as drm, p.dered_i as dim, p.dered_z as dzm, p.fracDeV_g as fDg, p.fracDeV_r as fDr, p.fracDeV_i as fDi, p.modelFlux_u as Flux_u, p.modelFlux_g as Flux_g, p.modelFlux_r as Flux_r, p.modelFlux_i as Flux_i, p.modelFlux_z as Flux_z INTO mydb.Flux_Ref FROM PhotoObj AS p WHERE p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = # OR p.ObjId = #"
2019-06-17 16:48:00,1
2019-06-17 16:49:00,2
