4,"select top # ObjID, z from SpecPhoto where (ABS (ra #) < #) and (ABS (dec #) < #) and (ABS (z #) < #) and (# < cModelMag_r < #)"
2019-06-15 00:15:00,2
2019-06-15 00:19:00,1
2019-06-15 00:20:00,1
