2,"select cellid from CellTag where sampleid = # and px between # and # and py between # and # select cg.geom.ToString () as wkt, cg.btype, cg.ptype from ca join cellgeom cg on cg.cellid = ca.cellid"
2019-11-26 16:18:00,1
2019-11-26 16:19:00,1
