12,"SELECT TOP # p.specObjID, zs.nvote, zs.p_el as elliptical, zs.p_cw as spiralclock, zs.p_acw as spiralanticlock, zs.p_edge as edgeon, zs.p_dk as dontknow, zs.p_mg as merger FROM galSpecLine as p JOIN ZooSpec AS zs ON p.specObjID = zs.specobjid JOIN Galaxy as y ON p.specObjID = y.specObjID WHERE zs.nvote > = # and zs.p_acw > #"
2019-05-04 16:26:00,2
2019-05-04 16:27:00,1
2019-05-04 16:29:00,1
2019-05-04 18:46:00,1
2019-05-06 19:33:00,1
2019-05-07 10:42:00,1
2019-05-07 10:43:00,1
2019-05-07 10:46:00,1
2019-05-07 10:47:00,1
2019-05-07 10:48:00,2
