48,"SELECT TOP # s.plate, s.mjd, s.fiberid, p.run, p.rerun, p.camCol, p.field, p.obj FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = #"
2019-02-21 21:37:00,2
2019-02-21 21:38:00,1
2019-09-04 21:13:00,1
2019-09-05 14:22:00,2
2019-09-05 14:24:00,1
2019-09-06 18:26:00,1
2019-09-06 19:08:00,1
2019-09-06 19:42:00,2
2019-09-16 20:07:00,1
2019-09-23 20:42:00,1
2019-09-23 20:45:00,1
2019-09-23 20:46:00,1
2019-09-23 20:51:00,4
2019-09-23 20:52:00,5
2019-10-02 19:51:00,1
2019-10-02 19:52:00,2
2019-10-02 20:16:00,1
2019-10-02 20:17:00,2
2019-10-02 20:19:00,2
2019-10-02 20:20:00,1
2019-10-07 17:29:00,3
2019-10-07 17:45:00,2
2019-10-07 17:46:00,1
2019-10-07 17:57:00,1
2019-10-07 18:03:00,1
2019-10-21 19:09:00,2
2019-10-21 19:13:00,1
2019-10-21 19:20:00,1
2019-10-21 19:21:00,1
2019-11-21 18:12:00,1
2019-11-21 18:16:00,1
