33,"SELECT top # ra, dec, z, zErr, dered_u, dered_g, dered_r, dered_i, dered_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z FROM SpecPhoto WHERE class = # AND z> # AND z< # AND zErr< # AND modelMagErr_g < #"
2019-08-28 12:11:00,2
2019-08-28 12:16:00,1
2019-08-28 12:44:00,1
2019-08-28 22:40:00,1
2019-08-29 18:55:00,3
2019-08-29 19:09:00,1
2019-08-29 20:22:00,1
2019-08-30 19:49:00,1
2019-08-31 00:21:00,1
2019-08-31 01:31:00,1
2019-08-31 02:00:00,1
2019-09-05 03:35:00,2
2019-09-09 18:44:00,1
2019-09-09 21:07:00,1
2019-09-10 15:28:00,2
2019-09-10 19:21:00,1
2019-09-10 19:23:00,1
2019-09-11 00:47:00,2
2019-09-11 15:37:00,1
2019-09-18 20:15:00,1
2019-09-20 00:49:00,2
2019-10-01 00:21:00,1
2019-10-09 17:57:00,1
2019-10-09 18:37:00,1
2019-10-09 18:48:00,1
2019-10-09 18:51:00,1
