2,"SELECT TOP # p.objid, p.ra, p.dec, s.class, s.z as redshift, FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-05 14:22:00,1
2019-01-05 14:23:00,1
