41,"SELECT DISTINCT p.objid, p.ra, p.dec, p.r, p.g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-10-08 08:13:00,2
2019-10-08 08:37:00,36
2019-10-08 08:39:00,1
2019-10-08 08:40:00,2
