2,"SELECT TOP # p.objid, p.ra, p.dec, s.z as redshift FROM PhotoPrimary AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra = # AND p.dec = #"
2019-08-07 14:16:00,1
2019-08-07 14:18:00,1
