5,"SELECT TOP # rv_teff, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r FROM SpecPhoto, apogeeStar WHERE (class = #) AND rv_teff = # AND modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-06-24 08:44:00,1
2019-06-24 08:45:00,3
2019-06-24 08:46:00,1
