180,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*#"
2019-01-01 11:07:00,1
2019-01-02 00:17:00,1
2019-01-02 00:46:00,1
2019-01-06 12:39:00,1
2019-01-07 00:08:00,1
2019-01-07 23:29:00,1
2019-01-08 03:27:00,1
2019-01-08 06:26:00,1
2019-01-08 07:26:00,1
2019-01-11 04:41:00,1
2019-01-12 03:07:00,1
2019-01-13 08:29:00,1
2019-01-13 09:06:00,1
2019-01-22 08:24:00,1
2019-01-23 22:09:00,1
2019-01-23 23:25:00,1
2019-01-25 15:55:00,1
2019-01-30 09:29:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-08 01:31:00,1
2019-02-08 18:10:00,1
2019-02-08 22:14:00,1
2019-02-09 17:31:00,1
2019-02-10 05:49:00,1
2019-02-10 09:41:00,1
2019-02-11 11:12:00,1
2019-02-14 10:59:00,1
2019-02-14 12:09:00,1
2019-02-18 03:04:00,1
2019-02-24 11:50:00,1
2019-02-27 19:47:00,1
2019-02-27 22:23:00,1
2019-02-28 03:30:00,1
2019-03-01 12:55:00,1
2019-03-01 22:30:00,1
2019-03-02 02:05:00,1
2019-03-02 22:35:00,1
2019-03-05 07:27:00,1
2019-03-05 08:52:00,1
2019-03-10 18:10:00,1
2019-03-26 19:53:00,1
2019-03-26 20:26:00,1
2019-03-26 20:55:00,1
2019-03-28 16:13:00,1
2019-03-28 19:55:00,1
2019-04-01 06:22:00,1
2019-04-01 18:23:00,1
2019-04-01 22:16:00,1
2019-04-08 15:32:00,1
2019-04-08 18:46:00,1
2019-04-09 12:24:00,1
2019-04-09 21:13:00,1
2019-04-09 21:19:00,1
2019-04-09 21:20:00,1
2019-04-10 00:36:00,1
2019-04-16 18:41:00,1
2019-04-18 05:37:00,1
2019-04-18 21:54:00,1
2019-04-19 01:37:00,1
2019-04-19 09:57:00,1
2019-04-19 19:05:00,1
2019-05-01 14:48:00,1
2019-05-02 10:59:00,1
2019-05-03 04:40:00,1
2019-05-03 14:46:00,1
2019-05-03 17:25:00,1
2019-05-10 16:23:00,1
2019-05-15 23:55:00,1
2019-05-16 00:40:00,1
2019-05-18 20:33:00,1
2019-05-18 21:21:00,1
2019-05-18 21:58:00,1
2019-05-23 09:58:00,1
2019-05-23 13:30:00,1
2019-05-24 02:12:00,1
2019-05-24 08:54:00,1
2019-05-24 13:29:00,1
2019-06-10 21:02:00,1
2019-06-10 21:20:00,1
2019-06-15 09:21:00,1
2019-06-17 09:50:00,1
2019-06-18 11:42:00,1
2019-06-18 13:07:00,1
2019-06-18 14:40:00,1
2019-06-20 00:08:00,1
2019-06-20 03:49:00,1
2019-06-21 00:48:00,1
2019-06-23 22:48:00,1
2019-06-25 12:27:00,1
2019-06-29 05:34:00,1
2019-07-01 21:24:00,1
2019-07-02 01:27:00,1
2019-07-02 15:14:00,1
2019-07-02 19:41:00,1
2019-07-03 14:20:00,1
2019-07-05 22:01:00,1
2019-07-12 19:10:00,1
2019-07-14 08:31:00,1
2019-07-20 00:18:00,1
2019-07-20 05:26:00,1
2019-07-21 06:51:00,1
2019-07-22 05:26:00,1
2019-07-24 02:06:00,1
2019-07-24 08:07:00,1
2019-07-25 05:08:00,1
2019-07-25 23:03:00,1
2019-08-06 02:36:00,1
2019-08-14 22:44:00,1
2019-08-15 03:47:00,1
2019-08-16 07:03:00,1
2019-08-16 23:28:00,1
2019-08-17 09:11:00,1
2019-08-20 23:02:00,1
2019-08-21 04:40:00,1
2019-08-22 07:36:00,1
2019-08-23 01:39:00,1
2019-08-23 07:55:00,1
2019-08-30 11:09:00,1
2019-08-31 08:39:00,1
2019-09-05 22:30:00,1
2019-09-06 21:53:00,1
2019-09-07 10:31:00,1
2019-09-13 00:28:00,1
2019-09-13 05:04:00,1
2019-09-14 17:54:00,1
2019-09-14 23:56:00,1
2019-09-15 06:56:00,1
2019-09-15 08:02:00,1
2019-09-27 23:54:00,1
2019-09-28 04:44:00,1
2019-09-30 01:44:00,1
2019-09-30 07:49:00,1
2019-10-03 22:31:00,1
2019-10-04 03:49:00,1
2019-10-17 05:17:00,1
2019-10-19 09:49:00,1
2019-10-19 17:32:00,1
2019-10-21 00:17:00,1
2019-10-22 03:49:00,1
2019-10-22 10:02:00,1
2019-10-22 20:23:00,1
2019-10-22 20:58:00,1
2019-10-23 14:49:00,1
2019-10-24 09:42:00,1
2019-10-24 16:31:00,1
2019-10-24 21:26:00,1
2019-10-24 21:37:00,1
2019-10-25 00:12:00,1
2019-10-25 00:35:00,1
2019-10-25 00:43:00,1
2019-10-26 18:02:00,1
2019-10-26 19:34:00,1
2019-10-27 10:08:00,1
2019-10-30 20:51:00,1
2019-10-30 23:42:00,1
2019-10-31 04:05:00,1
2019-11-02 01:01:00,1
2019-11-02 07:03:00,1
2019-11-07 08:02:00,1
2019-11-18 09:09:00,1
2019-11-20 04:42:00,1
2019-11-20 12:28:00,1
2019-11-21 20:06:00,1
2019-11-22 18:38:00,1
2019-11-23 00:29:00,1
2019-12-03 01:05:00,1
2019-12-03 04:08:00,1
2019-12-03 07:40:00,1
2019-12-03 08:23:00,1
2019-12-04 11:10:00,1
2019-12-05 11:08:00,1
2019-12-05 19:08:00,1
2019-12-06 05:16:00,1
2019-12-16 21:15:00,1
2019-12-17 00:18:00,1
2019-12-18 00:59:00,1
2019-12-18 01:28:00,1
2019-12-31 00:01:00,1
